Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Rubens BarrichelloBAR,Ferrari,52,1:20.143,212.470
2,1,Michael SchumacherMSC,Ferrari,51,1:20.307,212.036
3,8,Fernando AlonsoALO,Renault,42,1:20.476,211.591
4,4,Ralf SchumacherRSC,Williams BMW,8,1:20.798,210.747
5,20,Olivier PanisPAN,Toyota,14,1:20.803,210.734
6,21,Cristiano da MattaDAM,Toyota,22,1:20.935,210.391
7,17,Jenson ButtonBUT,BAR Honda,7,1:21.300,209.446
8,3,Juan Pablo MontoyaMOY,Williams BMW,21,1:21.448,209.065
9,10,Heinz-Harald FrentzenFRE,Sauber Petronas,32,1:21.791,208.189
10,14,Mark WebberWEB,Jaguar Cosworth,20,1:21.967,207.742
11,16,Jacques VilleneuveVIL,BAR Honda,9,1:22.175,207.216
12,9,Nick HeidfeldHEI,Sauber Petronas,34,1:22.568,206.230
13,5,David CoulthardCOU,McLaren Mercedes,10,1:22.577,206.207
14,12,Ralph FirmanFIR,Jordan Ford,29,1:22.719,205.853
15,11,Giancarlo FisichellaFIS,Jordan Ford,17,1:22.900,205.404
16,19,Jos VerstappenVER,Minardi Cosworth,16,1:22.942,205.300
17,18,Justin WilsonWIL,Minardi Cosworth,7,1:23.222,204.609
