Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Rubens BarrichelloBAR,Ferrari,46,1:22.032,189.101
2,10,Heinz-Harald FrentzenFRE,Sauber Petronas,53,1:23.089,186.696
3,5,David CoulthardCOU,McLaren Mercedes,40,1:23.132,186.599
4,11,Giancarlo FisichellaFIS,Jordan Ford,51,1:23.454,185.879
5,8,Fernando AlonsoALO,Renault,41,1:23.770,185.178
6,1,Michael SchumacherMSC,Ferrari,18,1:24.040,184.583
7,6,Kimi RäikkönenRAI,McLaren Mercedes,39,1:24.104,184.443
8,16,Jacques VilleneuveVIL,BAR Honda,48,1:24.463,183.659
9,4,Ralf SchumacherRSC,Williams BMW,46,1:24.778,182.976
10,14,Mark WebberWEB,Jaguar Cosworth,50,1:24.956,182.593
11,7,Jarno TrulliTRU,Renault,43,1:25.036,182.421
12,3,Juan Pablo MontoyaMOY,Williams BMW,24,1:25.814,180.767
13,17,Jenson ButtonBUT,BAR Honda,17,1:26.042,180.288
14,21,Cristiano da MattaDAM,Toyota,47,1:27.080,178.139
15,15,Antonio PizzoniaPIZ,Jaguar Cosworth,24,1:27.990,176.297
16,19,Jos VerstappenVER,Minardi Cosworth,25,1:28.010,176.257
17,18,Justin WilsonWIL,Minardi Cosworth,15,1:28.023,176.231
18,12,Ralph FirmanFIR,Jordan Ford,13,1:29.159,173.985
19,20,Olivier PanisPAN,Toyota,17,1:30.494,171.419
20,9,Nick HeidfeldHEI,Sauber Petronas,4,2:11.396,118.058
