Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,45,1:36.412,206.974
2,2,Rubens BarrichelloBAR,Ferrari,24,1:36.542,206.695
3,6,Kimi RäikkönenRAI,McLaren Mercedes,10,1:36.764,206.221
4,8,Fernando AlonsoALO,Renault,12,1:37.078,205.554
5,7,Jarno TrulliTRU,Renault,53,1:37.484,204.698
6,3,Juan Pablo MontoyaMOY,Williams BMW,26,1:37.787,204.063
7,5,David CoulthardCOU,McLaren Mercedes,2,1:38.021,203.576
8,4,Ralf SchumacherRSC,Williams BMW,24,1:38.071,203.472
9,21,Cristiano da MattaDAM,Toyota,35,1:38.156,203.296
10,20,Olivier PanisPAN,Toyota,7,1:38.176,203.255
11,17,Jenson ButtonBUT,BAR Honda,10,1:38.413,202.765
12,14,Mark WebberWEB,Jaguar Cosworth,6,1:38.464,202.660
13,9,Nick HeidfeldHEI,Sauber Petronas,9,1:38.528,202.529
14,15,Antonio PizzoniaPIZ,Jaguar Cosworth,3,1:38.572,202.438
15,10,Heinz-Harald FrentzenFRE,Sauber Petronas,19,1:39.287,200.980
16,12,Ralph FirmanFIR,Jordan Ford,14,1:39.665,200.218
17,19,Jos VerstappenVER,Minardi Cosworth,3,1:39.667,200.214
18,18,Justin WilsonWIL,Minardi Cosworth,12,1:39.752,200.044
