Pos,No,Driver,Car,Lap,Time,Avg speed
1,4,Ralf SchumacherRSC,Williams BMW,43,1:33.408,223.805
2,5,David CoulthardCOU,McLaren Mercedes,14,1:33.416,223.786
3,1,Michael SchumacherMSC,Ferrari,14,1:33.553,223.458
4,2,Rubens BarrichelloBAR,Ferrari,18,1:33.703,223.100
5,3,Juan Pablo MontoyaMOY,Williams BMW,2,1:33.830,222.798
6,8,Fernando AlonsoALO,Renault,8,1:34.255,221.794
7,6,Kimi RäikkönenRAI,McLaren Mercedes,12,1:34.488,221.247
8,7,Jarno TrulliTRU,Renault,26,1:34.546,221.111
9,17,Jenson ButtonBUT,BAR Honda,14,1:34.605,220.973
10,14,Mark WebberWEB,Jaguar Cosworth,24,1:34.635,220.903
11,9,Nick HeidfeldHEI,Sauber Petronas,31,1:34.991,220.075
12,15,Justin WilsonWIL,Jaguar Cosworth,11,1:35.014,220.022
13,20,Olivier PanisPAN,Toyota,53,1:35.023,220.001
14,21,Cristiano da MattaDAM,Toyota,16,1:35.192,219.610
15,16,Takuma SatoSAT,BAR Honda,28,1:35.290,219.385
16,11,Giancarlo FisichellaFIS,Jordan Ford,33,1:35.824,218.162
17,10,Heinz-Harald FrentzenFRE,Sauber Petronas,7,1:36.601,216.407
18,12,Ralph FirmanFIR,Jordan Ford,15,1:36.662,216.271
19,19,Jos VerstappenVER,Minardi Cosworth,51,1:37.869,213.603
20,18,Nicolas KiesaKIE,Minardi Cosworth,6,1:38.754,211.689
