Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,17,1:22.491,215.281
2,2,Rubens BarrichelloBAR,Ferrari,49,1:22.775,214.543
3,6,Kimi RäikkönenRAI,McLaren Mercedes,21,1:22.810,214.452
4,3,Juan Pablo MontoyaMOY,Williams BMW,32,1:22.946,214.100
5,5,David CoulthardCOU,McLaren Mercedes,20,1:23.200,213.447
6,4,Ralf SchumacherRSC,Williams BMW,29,1:23.265,213.280
7,8,Fernando AlonsoALO,Renault,60,1:23.844,211.807
8,17,Jenson ButtonBUT,BAR Honda,15,1:23.972,211.484
9,16,Jacques VilleneuveVIL,BAR Honda,16,1:24.108,211.142
10,14,Mark WebberWEB,Jaguar Cosworth,30,1:24.258,210.766
11,21,Cristiano da MattaDAM,Toyota,15,1:24.705,209.654
12,11,Giancarlo FisichellaFIS,Jordan Ford,27,1:24.730,209.592
13,15,Antonio PizzoniaPIZ,Jaguar Cosworth,36,1:24.733,209.585
14,10,Heinz-Harald FrentzenFRE,Sauber Petronas,34,1:24.874,209.237
15,20,Olivier PanisPAN,Toyota,36,1:25.123,208.625
16,9,Nick HeidfeldHEI,Sauber Petronas,38,1:25.329,208.121
17,7,Jarno TrulliTRU,Renault,13,1:25.444,207.841
18,12,Ralph FirmanFIR,Jordan Ford,45,1:25.539,207.610
19,18,Justin WilsonWIL,Minardi Cosworth,23,1:26.354,205.651
20,19,Jos VerstappenVER,Minardi Cosworth,35,1:26.835,204.512
