Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Kimi RäikkönenRAI,McLaren Mercedes,49,1:14.545,161.298
2,1,Michael SchumacherMSC,Ferrari,30,1:14.707,160.948
3,4,Ralf SchumacherRSC,Williams BMW,77,1:14.768,160.817
4,3,Juan Pablo MontoyaMOY,Williams BMW,47,1:14.902,160.529
5,2,Rubens BarrichelloBAR,Ferrari,59,1:15.307,159.666
6,8,Fernando AlonsoALO,Renault,58,1:15.397,159.475
7,5,David CoulthardCOU,McLaren Mercedes,51,1:15.439,159.387
8,7,Jarno TrulliTRU,Renault,51,1:15.679,158.881
9,21,Cristiano da MattaDAM,Toyota,51,1:16.282,157.625
10,16,Jacques VilleneuveVIL,BAR Honda,50,1:16.292,157.604
11,11,Giancarlo FisichellaFIS,Jordan Ford,72,1:16.647,156.875
12,9,Nick HeidfeldHEI,Sauber Petronas,75,1:16.835,156.491
13,12,Ralph FirmanFIR,Jordan Ford,51,1:17.208,155.735
14,20,Olivier PanisPAN,Toyota,70,1:17.777,154.595
15,14,Mark WebberWEB,Jaguar Cosworth,13,1:18.004,154.145
16,19,Jos VerstappenVER,Minardi Cosworth,25,1:19.146,151.921
17,18,Justin WilsonWIL,Minardi Cosworth,19,1:19.169,151.877
18,15,Antonio PizzoniaPIZ,Jaguar Cosworth,8,1:19.437,151.365
