Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Juan Pablo MontoyaMOY,Williams BMW,37,1:22.095,192.114
2,4,Ralf SchumacherRSC,Williams BMW,55,1:22.319,191.591
3,6,Kimi RäikkönenRAI,McLaren Mercedes,66,1:22.372,191.467
4,8,Fernando AlonsoALO,Renault,47,1:22.565,191.020
5,21,Cristiano da MattaDAM,Toyota,36,1:23.040,189.927
6,14,Mark WebberWEB,Jaguar Cosworth,49,1:23.156,189.662
7,5,David CoulthardCOU,McLaren Mercedes,40,1:23.193,189.578
8,1,Michael SchumacherMSC,Ferrari,38,1:23.207,189.546
9,17,Jenson ButtonBUT,BAR Honda,65,1:23.376,189.162
10,7,Jarno TrulliTRU,Renault,34,1:24.100,187.533
11,9,Nick HeidfeldHEI,Sauber Petronas,54,1:24.267,187.162
12,20,Olivier PanisPAN,Toyota,17,1:24.414,186.836
13,10,Heinz-Harald FrentzenFRE,Sauber Petronas,45,1:24.450,186.756
14,2,Rubens BarrichelloBAR,Ferrari,13,1:24.583,186.463
15,15,Justin WilsonWIL,Jaguar Cosworth,26,1:24.936,185.688
16,11,Giancarlo FisichellaFIS,Jordan Ford,13,1:25.081,185.371
17,16,Jacques VilleneuveVIL,BAR Honda,13,1:25.278,184.943
18,12,Zsolt BaumgartnerBAU,Jordan Ford,22,1:26.464,182.406
19,19,Jos VerstappenVER,Minardi Cosworth,60,1:26.559,182.206
20,18,Nicolas KiesaKIE,Minardi Cosworth,47,1:27.641,179.956
