Pos,No,Driver,Car,Time
1,5,Sebastian VettelVET,Ferrari,1:33.194
2,7,Kimi RäikkönenRAI,Ferrari,1:33.253
3,77,Valtteri BottasBOT,Mercedes,1:33.289
4,44,Lewis HamiltonHAM,Mercedes,1:33.767
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:34.905
6,19,Felipe MassaMAS,Williams Mercedes,1:35.110
7,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:35.161
8,27,Nico HulkenbergHUL,Renault,1:35.285
9,11,Sergio PerezPER,Force India Mercedes,1:35.337
10,31,Esteban OconOCO,Force India Mercedes,1:35.430
11,18,Lance StrollSTR,Williams Mercedes,1:35.964
12,26,Daniil KvyatKVY,Toro Rosso,1:35.968
13,20,Kevin MagnussenMAG,Haas Ferrari,1:36.017
14,55,Carlos SainzSAI,Toro Rosso,1:35.948
15,14,Fernando AlonsoALO,McLaren Honda,1:36.660
16,30,Jolyon PalmerPAL,Renault,1:36.462
17,94,Pascal WehrleinWEH,Sauber Ferrari,1:37.332
18,9,Marcus EricssonERI,Sauber Ferrari,1:37.507
19,8,Romain GrosjeanGRO,Haas Ferrari,1:37.620
20,2,Stoffel VandoorneVAN,McLaren Honda,1:37.070
