Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:33.108
2,5,Sebastian VettelVET,Ferrari,1:33.347
3,77,Valtteri BottasBOT,Mercedes,1:33.568
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:33.577
5,7,Kimi RäikkönenRAI,Ferrari,1:33.577
6,31,Esteban OconOCO,Force India Mercedes,1:34.647
7,55,Carlos SainzSAI,Renault,1:34.852
8,14,Fernando AlonsoALO,McLaren Honda,1:35.007
9,11,Sergio PerezPER,Force India Mercedes,1:35.148
10,19,Felipe MassaMAS,Williams Mercedes,1:35.155
11,26,Daniil KvyatKVY,Toro Rosso,1:35.529
12,8,Romain GrosjeanGRO,Haas Ferrari,1:35.870
13,9,Marcus EricssonERI,Sauber Ferrari,1:36.842
14,94,Pascal WehrleinWEH,Sauber Ferrari,1:37.179
15,18,Lance StrollSTR,Williams Mercedes,1:36.868
16,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:33.658
17,20,Kevin MagnussenMAG,Haas Ferrari,1:37.394
18,27,Nico HulkenbergHUL,Renault,
19,39,Brendon HartleyHAR,Toro Rosso,1:36.889
20,2,Stoffel VandoorneVAN,McLaren Honda,1:35.641
