Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:40.593
2,77,Valtteri BottasBOT,Mercedes,1:41.027
3,7,Kimi RäikkönenRAI,Ferrari,1:41.693
4,5,Sebastian VettelVET,Ferrari,1:41.841
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:41.879
6,11,Sergio PerezPER,Force India Mercedes,1:42.111
7,31,Esteban OconOCO,Force India Mercedes,1:42.186
8,18,Lance StrollSTR,Williams Mercedes,1:42.753
9,19,Felipe MassaMAS,Williams Mercedes,1:42.798
10,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:43.414
11,26,Daniil KvyatKVY,Toro Rosso,1:43.186
12,20,Kevin MagnussenMAG,Haas Ferrari,1:43.796
13,27,Nico HulkenbergHUL,Renault,1:44.267
14,94,Pascal WehrleinWEH,Sauber Ferrari,1:44.603
15,55,Carlos SainzSAI,Toro Rosso,1:43.347
16,8,Romain GrosjeanGRO,Haas Ferrari,1:44.468
17,9,Marcus EricssonERI,Sauber Ferrari,1:44.795
18,2,Stoffel VandoorneVAN,McLaren Honda,1:45.030
19,14,Fernando AlonsoALO,McLaren Honda,1:44.334
20,30,Jolyon PalmerPAL,Renault,
