Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:14.487,,29
2,5,Ralf SchumacherRSC,Williams BMW,1:15.154,+0.667s,30
3,2,Rubens BarrichelloBAR,Ferrari,1:15.459,+0.972s,15
4,6,Juan Pablo MontoyaMOY,Williams BMW,1:15.472,+0.985s,31
5,7,Nick HeidfeldHEI,Sauber Petronas,1:15.862,+1.375s,23
6,8,Felipe MassaMAS,Sauber Petronas,1:15.997,+1.510s,27
7,9,Giancarlo FisichellaFIS,Jordan Honda,1:16.093,+1.606s,32
8,24,Mika SaloSAL,Toyota,1:16.195,+1.708s,29
9,3,David CoulthardCOU,McLaren Mercedes,1:16.206,+1.719s,29
10,25,Allan McNishMCN,Toyota,1:16.399,+1.912s,29
11,14,Jarno TrulliTRU,Renault,1:16.403,+1.916s,33
12,4,Kimi RäikkönenRAI,McLaren Mercedes,1:16.482,+1.995s,26
13,10,Takuma SatoSAT,Jordan Honda,1:16.494,+2.007s,28
14,12,Olivier PanisPAN,BAR Honda,1:16.694,+2.207s,35
15,16,Eddie IrvineIRV,Jaguar Cosworth,1:16.876,+2.389s,31
16,11,Jacques VilleneuveVIL,BAR Honda,1:16.938,+2.451s,36
17,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:17.163,+2.676s,24
18,17,Pedro de la RosaDLR,Jaguar Cosworth,1:17.218,+2.731s,31
19,21,Enrique BernoldiBER,Arrows Cosworth,1:17.258,+2.771s,33
20,15,Jenson ButtonBUT,Renault,1:17.455,+2.968s,14
21,23,Mark WebberWEB,Minardi Asiatech,1:18.291,+3.804s,36
22,22,Alex YoongYOO,Minardi Asiatech,1:20.314,+5.827s,25
