Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:26.177,,21
2,2,Rubens BarrichelloBAR,Ferrari,1:26.331,+0.154s,16
3,6,Juan Pablo MontoyaMOY,Williams BMW,1:27.394,+1.217s,20
4,5,Ralf SchumacherRSC,Williams BMW,1:27.424,+1.247s,28
5,3,David CoulthardCOU,McLaren Mercedes,1:27.505,+1.328s,15
6,4,Kimi RäikkönenRAI,McLaren Mercedes,1:27.635,+1.458s,16
7,7,Nick HeidfeldHEI,Sauber Petronas,1:28.295,+2.118s,14
8,11,Jacques VilleneuveVIL,BAR Honda,1:28.557,+2.380s,27
9,12,Olivier PanisPAN,BAR Honda,1:28.570,+2.393s,20
10,9,Giancarlo FisichellaFIS,Jordan Honda,1:28.605,+2.428s,24
11,8,Felipe MassaMAS,Sauber Petronas,1:28.700,+2.523s,14
12,14,Jarno TrulliTRU,Renault,1:28.773,+2.596s,19
13,15,Jenson ButtonBUT,Renault,1:28.881,+2.704s,14
14,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:29.174,+2.997s,16
15,25,Allan McNishMCN,Toyota,1:29.663,+3.486s,17
16,21,Enrique BernoldiBER,Arrows Cosworth,1:29.724,+3.547s,17
17,16,Eddie IrvineIRV,Jaguar Cosworth,1:29.737,+3.560s,18
18,24,Mika SaloSAL,Toyota,1:30.100,+3.923s,18
19,10,Takuma SatoSAT,Jordan Honda,1:30.914,+4.737s,9
20,23,Mark WebberWEB,Minardi Asiatech,1:31.203,+5.026s,14
21,17,Pedro de la RosaDLR,Jaguar Cosworth,1:31.286,+5.109s,20
22,22,Alex YoongYOO,Minardi Asiatech,1:33.425,+7.248s,25
