Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:30.658,,22
2,4,Kimi RäikkönenRAI,McLaren Mercedes,1:31.176,+0.518s,25
3,2,Rubens BarrichelloBAR,Ferrari,1:31.332,+0.674s,20
4,7,Nick HeidfeldHEI,Sauber Petronas,1:31.422,+0.764s,22
5,5,Ralf SchumacherRSC,Williams BMW,1:31.685,+1.027s,34
6,24,Mika SaloSAL,Toyota,1:31.803,+1.145s,32
7,3,David CoulthardCOU,McLaren Mercedes,1:31.811,+1.153s,24
8,6,Juan Pablo MontoyaMOY,Williams BMW,1:31.833,+1.175s,37
9,14,Jarno TrulliTRU,Renault,1:32.412,+1.754s,27
10,15,Jenson ButtonBUT,Renault,1:32.698,+2.040s,26
11,8,Felipe MassaMAS,Sauber Petronas,1:32.715,+2.057s,22
12,25,Allan McNishMCN,Toyota,1:32.863,+2.205s,30
13,10,Takuma SatoSAT,Jordan Honda,1:33.017,+2.359s,31
14,23,Mark WebberWEB,Minardi Asiatech,1:33.146,+2.488s,26
15,16,Eddie IrvineIRV,Jaguar Cosworth,1:33.157,+2.499s,22
16,9,Giancarlo FisichellaFIS,Jordan Honda,1:33.167,+2.509s,23
17,12,Olivier PanisPAN,BAR Honda,1:33.202,+2.544s,22
18,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,1:33.668,+3.010s,26
19,11,Jacques VilleneuveVIL,BAR Honda,1:33.681,+3.023s,24
20,21,Enrique BernoldiBER,Arrows Cosworth,1:33.877,+3.219s,24
21,22,Alex YoongYOO,Minardi Asiatech,1:35.016,+4.358s,33
22,17,Pedro de la RosaDLR,Jaguar Cosworth,1:35.736,+5.078s,6
