Pos,No,Driver,Car,Laps,Time/retired,Pts
1,4,Lewis HamiltonHAM,McLaren Mercedes,69,1:41:05.503,25
2,9,Kimi RäikkönenRAI,Lotus Renault,69,+1.032s,18
3,10,Romain GrosjeanGRO,Lotus Renault,69,+10.518s,15
4,1,Sebastian VettelVET,Red Bull Racing Renault,69,+11.614s,12
5,5,Fernando AlonsoALO,Ferrari,69,+26.653s,10
6,3,Jenson ButtonBUT,McLaren Mercedes,69,+30.243s,8
7,19,Bruno SennaSEN,Williams Renault,69,+33.899s,6
8,2,Mark WebberWEB,Red Bull Racing Renault,69,+34.458s,4
9,6,Felipe MassaMAS,Ferrari,69,+38.350s,2
10,8,Nico RosbergROS,Mercedes,69,+51.234s,1
11,12,Nico HulkenbergHUL,Force India Mercedes,69,+57.283s,0
12,11,Paul di RestaDIR,Force India Mercedes,69,+62.887s,0
13,18,Pastor MaldonadoMAL,Williams Renault,69,+63.606s,0
14,15,Sergio PerezPER,Sauber Ferrari,69,+64.494s,0
15,16,Daniel RicciardoRIC,STR Ferrari,68,+1 lap,0
16,17,Jean-Eric VergneVER,STR Ferrari,68,+1 lap,0
17,20,Heikki KovalainenKOV,Caterham Renault,68,+1 lap,0
18,14,Kamui KobayashiKOB,Sauber Ferrari,67,DNF,0
19,21,Vitaly PetrovPET,Caterham Renault,67,+2 laps,0
20,25,Charles PicPIC,Marussia Cosworth,67,+2 laps,0
21,24,Timo GlockGLO,Marussia Cosworth,66,+3 laps,0
22,22,Pedro de la RosaDLR,HRT Cosworth,66,+3 laps,0
NC,23,Narain KarthikeyanKAR,HRT Cosworth,60,DNF,0
NC,7,Michael SchumacherMSC,Mercedes,58,DNF,0
