Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Fernando AlonsoALO,Ferrari,57,1:44:16.649,25
2,9,Kimi RäikkönenRAI,Lotus Renault,57,+6.421s,18
3,7,Michael SchumacherMSC,Mercedes,57,+12.639s,15
4,2,Mark WebberWEB,Red Bull Racing Renault,57,+13.628s,12
5,12,Nico HulkenbergHUL,Force India Mercedes,57,+19.993s,10
6,8,Nico RosbergROS,Mercedes,57,+21.176s,8
7,11,Paul di RestaDIR,Force India Mercedes,57,+22.866s,6
8,3,Jenson ButtonBUT,McLaren Mercedes,57,+24.653s,4
9,15,Sergio PerezPER,Sauber Ferrari,57,+27.777s,2
10,19,Bruno SennaSEN,Williams Renault,57,+35.961s,1
11,16,Daniel RicciardoRIC,STR Ferrari,57,+37.041s,0
12,18,Pastor MaldonadoMAL,Williams Renault,57,+54.630s,0
13,21,Vitaly PetrovPET,Caterham Renault,57,+75.871s,0
14,20,Heikki KovalainenKOV,Caterham Renault,57,+94.654s,0
15,25,Charles PicPIC,Marussia Cosworth,57,+96.551s,0
16,6,Felipe MassaMAS,Ferrari,56,+1 lap,0
17,22,Pedro de la RosaDLR,HRT Cosworth,56,+1 lap,0
18,23,Narain KarthikeyanKAR,HRT Cosworth,56,+1 lap,0
19,4,Lewis HamiltonHAM,McLaren Mercedes,55,DNF,0
NC,10,Romain GrosjeanGRO,Lotus Renault,40,DNF,0
NC,1,Sebastian VettelVET,Red Bull Racing Renault,33,DNF,0
NC,14,Kamui KobayashiKOB,Sauber Ferrari,33,DNF,0
NC,17,Jean-Eric VergneVER,STR Ferrari,26,DNF,0
