Pos,No,Driver,Car,Laps,Time/retired,Pts
1,8,Nico RosbergROS,Mercedes,56,1:36:26.929,25
2,3,Jenson ButtonBUT,McLaren Mercedes,56,+20.626s,18
3,4,Lewis HamiltonHAM,McLaren Mercedes,56,+26.012s,15
4,2,Mark WebberWEB,Red Bull Racing Renault,56,+27.924s,12
5,1,Sebastian VettelVET,Red Bull Racing Renault,56,+30.483s,10
6,10,Romain GrosjeanGRO,Lotus Renault,56,+31.491s,8
7,19,Bruno SennaSEN,Williams Renault,56,+34.597s,6
8,18,Pastor MaldonadoMAL,Williams Renault,56,+35.643s,4
9,5,Fernando AlonsoALO,Ferrari,56,+37.256s,2
10,14,Kamui KobayashiKOB,Sauber Ferrari,56,+38.720s,1
11,15,Sergio PerezPER,Sauber Ferrari,56,+41.066s,0
12,11,Paul di RestaDIR,Force India Mercedes,56,+42.273s,0
13,6,Felipe MassaMAS,Ferrari,56,+42.779s,0
14,9,Kimi RäikkönenRAI,Lotus Renault,56,+50.573s,0
15,12,Nico HulkenbergHUL,Force India Mercedes,56,+51.213s,0
16,17,Jean-Eric VergneVER,STR Ferrari,56,+51.756s,0
17,16,Daniel RicciardoRIC,STR Ferrari,56,+63.156s,0
18,21,Vitaly PetrovPET,Caterham Renault,55,+1 lap,0
19,24,Timo GlockGLO,Marussia Cosworth,55,+1 lap,0
20,25,Charles PicPIC,Marussia Cosworth,55,+1 lap,0
21,22,Pedro de la RosaDLR,HRT Cosworth,55,+1 lap,0
22,23,Narain KarthikeyanKAR,HRT Cosworth,54,+2 laps,0
23,20,Heikki KovalainenKOV,Caterham Renault,53,+3 laps,0
NC,7,Michael SchumacherMSC,Mercedes,12,DNF,0
