Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Sebastian VettelVET,Red Bull Racing Renault,55,1:36:28.651,25
2,2,Mark WebberWEB,Red Bull Racing Renault,55,+8.231s,18
3,5,Fernando AlonsoALO,Ferrari,55,+13.944s,15
4,6,Felipe MassaMAS,Ferrari,55,+20.168s,12
5,9,Kimi RäikkönenRAI,Lotus Renault,55,+36.739s,10
6,12,Nico HulkenbergHUL,Force India Mercedes,55,+45.301s,8
7,10,Romain GrosjeanGRO,Lotus Renault,55,+54.812s,6
8,17,Jean-Eric VergneVER,STR Ferrari,55,+69.589s,4
9,16,Daniel RicciardoRIC,STR Ferrari,55,+71.787s,2
10,4,Lewis HamiltonHAM,McLaren Mercedes,55,+79.692s,1
11,15,Sergio PerezPER,Sauber Ferrari,55,+80.062s,0
12,11,Paul di RestaDIR,Force India Mercedes,55,+84.448s,0
13,7,Michael SchumacherMSC,Mercedes,55,+89.241s,0
14,18,Pastor MaldonadoMAL,Williams Renault,55,+94.924s,0
15,19,Bruno SennaSEN,Williams Renault,55,+96.902s,0
16,21,Vitaly PetrovPET,Caterham Renault,54,+1 lap,0
17,20,Heikki KovalainenKOV,Caterham Renault,54,+1 lap,0
18,24,Timo GlockGLO,Marussia Cosworth,54,+1 lap,0
19,25,Charles PicPIC,Marussia Cosworth,53,+2 laps,0
20,23,Narain KarthikeyanKAR,HRT Cosworth,53,+2 laps,0
NC,22,Pedro de la RosaDLR,HRT Cosworth,16,DNF,0
NC,14,Kamui KobayashiKOB,Sauber Ferrari,16,DNF,0
NC,8,Nico RosbergROS,Mercedes,1,DNF,0
NC,3,Jenson ButtonBUT,McLaren Mercedes,0,DNF,0
