Pos,No,Driver,Car,Laps,Time/retired,Pts
1,4,Lewis HamiltonHAM,McLaren Mercedes,70,1:32:29.586,25
2,10,Romain GrosjeanGRO,Lotus Renault,70,+2.513s,18
3,15,Sergio PerezPER,Sauber Ferrari,70,+5.260s,15
4,1,Sebastian VettelVET,Red Bull Racing Renault,70,+7.295s,12
5,5,Fernando AlonsoALO,Ferrari,70,+13.411s,10
6,8,Nico RosbergROS,Mercedes,70,+13.842s,8
7,2,Mark WebberWEB,Red Bull Racing Renault,70,+15.085s,6
8,9,Kimi RäikkönenRAI,Lotus Renault,70,+15.567s,4
9,14,Kamui KobayashiKOB,Sauber Ferrari,70,+24.432s,2
10,6,Felipe MassaMAS,Ferrari,70,+25.272s,1
11,11,Paul di RestaDIR,Force India Mercedes,70,+37.693s,0
12,12,Nico HulkenbergHUL,Force India Mercedes,70,+46.236s,0
13,18,Pastor MaldonadoMAL,Williams Renault,70,+47.052s,0
14,16,Daniel RicciardoRIC,STR Ferrari,70,+64.475s,0
15,17,Jean-Eric VergneVER,STR Ferrari,69,+1 lap,0
16,3,Jenson ButtonBUT,McLaren Mercedes,69,+1 lap,0
17,19,Bruno SennaSEN,Williams Renault,69,+1 lap,0
18,20,Heikki KovalainenKOV,Caterham Renault,69,+1 lap,0
19,21,Vitaly PetrovPET,Caterham Renault,69,+1 lap,0
20,25,Charles PicPIC,Marussia Cosworth,67,+3 laps,0
NC,24,Timo GlockGLO,Marussia Cosworth,56,DNF,0
NC,7,Michael SchumacherMSC,Mercedes,43,DNF,0
NC,22,Pedro de la RosaDLR,HRT Cosworth,24,DNF,0
NC,23,Narain KarthikeyanKAR,HRT Cosworth,22,DNF,0
