Pos,No,Driver,Car,Laps,Time/retired,Pts
1,9,Kimi RäikkönenRAI,Lotus Renault,55,1:45:58.667,25
2,5,Fernando AlonsoALO,Ferrari,55,+0.852s,18
3,1,Sebastian VettelVET,Red Bull Racing Renault,55,+4.163s,15
4,3,Jenson ButtonBUT,McLaren Mercedes,55,+7.787s,12
5,18,Pastor MaldonadoMAL,Williams Renault,55,+13.007s,10
6,14,Kamui KobayashiKOB,Sauber Ferrari,55,+20.076s,8
7,6,Felipe MassaMAS,Ferrari,55,+22.896s,6
8,19,Bruno SennaSEN,Williams Renault,55,+23.542s,4
9,11,Paul di RestaDIR,Force India Mercedes,55,+24.160s,2
10,16,Daniel RicciardoRIC,STR Ferrari,55,+27.463s,1
11,7,Michael SchumacherMSC,Mercedes,55,+28.075s,0
12,17,Jean-Eric VergneVER,STR Ferrari,55,+34.906s,0
13,20,Heikki KovalainenKOV,Caterham Renault,55,+47.764s,0
14,24,Timo GlockGLO,Marussia Cosworth,55,+56.473s,0
15,15,Sergio PerezPER,Sauber Ferrari,55,+56.768s,0
16,21,Vitaly PetrovPET,Caterham Renault,55,+64.595s,0
17,22,Pedro de la RosaDLR,HRT Cosworth,55,+71.778s,0
NC,25,Charles PicPIC,Marussia Cosworth,41,DNF,0
NC,10,Romain GrosjeanGRO,Lotus Renault,37,DNF,0
NC,2,Mark WebberWEB,Red Bull Racing Renault,37,DNF,0
NC,4,Lewis HamiltonHAM,McLaren Mercedes,19,DNF,0
NC,23,Narain KarthikeyanKAR,HRT Cosworth,7,DNF,0
NC,8,Nico RosbergROS,Mercedes,7,DNF,0
NC,12,Nico HulkenbergHUL,Force India Mercedes,0,DNF,0
