Pos,No,Driver,Car,Time,Gap,Laps
1,36,Anthony DavidsonDAV,Honda,1:28.259,,26
2,37,Robert DoornbosDOO,RBR Ferrari,1:28.559,+0.300s,19
3,17,Jacques VilleneuveVIL,Sauber BMW,1:28.595,+0.336s,16
4,3,Kimi RäikkönenRAI,McLaren Mercedes,1:28.713,+0.454s,5
5,6,Felipe MassaMAS,Ferrari,1:29.025,+0.766s,7
6,5,Michael SchumacherMSC,Ferrari,1:29.041,+0.782s,5
7,7,Ralf SchumacherRSC,Toyota,1:29.411,+1.152s,5
8,35,Alexander WurzWUR,Williams Cosworth,1:29.461,+1.202s,19
9,38,Robert KubicaKUB,Sauber BMW,1:29.576,+1.317s,13
10,15,Christian KlienKLI,RBR Ferrari,1:29.601,+1.342s,7
11,14,David CoulthardCOU,RBR Ferrari,1:29.676,+1.417s,9
12,21,Scott SpeedSPE,STR Cosworth,1:31.017,+2.758s,8
13,19,Christijan AlbersALB,MF1 Toyota,1:31.039,+2.780s,9
14,18,Tiago MonteiroMON,MF1 Toyota,1:31.812,+3.553s,10
15,22,Takuma SatoSAT,Super Aguri Honda,1:34.036,+5.777s,9
16,23,Yuji IdeIDE,Super Aguri Honda,1:36.684,+8.425s,19
17,39,Markus WinkelhockWIN,MF1 Toyota,1:36.859,+8.600s,17
18,40,Neel JaniJAN,STR Cosworth,1:40.818,+12.559s,4
19,1,Fernando AlonsoALO,Renault,,,2
20,2,Giancarlo FisichellaFIS,Renault,,,2
21,8,Jarno TrulliTRU,Toyota,,,2
22,4,Juan Pablo MontoyaMOY,McLaren Mercedes,,,1
23,16,Nick HeidfeldHEI,Sauber BMW,,,1
24,11,Rubens BarrichelloBAR,Honda,,,1
25,20,Vitantonio LiuzziLIU,STR Cosworth,,,2
