Pos,No,Driver,Car,Time,Gap,Laps
1,38,Robert KubicaKUB,Sauber BMW,1:16.794,,31
2,36,Anthony DavidsonDAV,Honda,1:17.133,+0.339s,29
3,12,Jenson ButtonBUT,Honda,1:18.160,+1.366s,4
4,7,Ralf SchumacherRSC,Toyota,1:18.752,+1.958s,6
5,39,Adrian SutilSUT,MF1 Toyota,1:18.777,+1.983s,32
6,40,Neel JaniJAN,STR Cosworth,1:18.962,+2.168s,21
7,35,Alexander WurzWUR,Williams Cosworth,1:19.055,+2.261s,17
8,17,Jacques VilleneuveVIL,Sauber BMW,1:19.063,+2.269s,6
9,37,Robert DoornbosDOO,RBR Ferrari,1:19.311,+2.517s,20
10,10,Nico RosbergROS,Williams Cosworth,1:19.401,+2.607s,6
11,19,Christijan AlbersALB,MF1 Toyota,1:19.465,+2.671s,7
12,8,Jarno TrulliTRU,Toyota,1:19.806,+3.012s,7
13,18,Tiago MonteiroMON,MF1 Toyota,1:20.335,+3.541s,7
14,23,Franck MontagnyMON,Super Aguri Honda,1:20.790,+3.996s,11
15,22,Takuma SatoSAT,Super Aguri Honda,1:21.160,+4.366s,10
16,41,Sakon YamamotoYAM,Super Aguri Honda,1:23.891,+7.097s,11
17,2,Giancarlo FisichellaFIS,Renault,,,1
18,1,Fernando AlonsoALO,Renault,,,1
19,4,Pedro de la RosaDLR,McLaren Mercedes,,,1
20,21,Scott SpeedSPE,STR Cosworth,,,1
21,20,Vitantonio LiuzziLIU,STR Cosworth,,,2
22,14,David CoulthardCOU,RBR Ferrari,,,1
23,15,Christian KlienKLI,RBR Ferrari,,,1
24,3,Kimi RäikkönenRAI,McLaren Mercedes,,,1
