Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,Williams Renault,42,1:26.128
2,5,Michael SchumacherMSC,Benetton Ford,41,1:26.612
3,8,Ayrton SennaSEN,McLaren Ford,28,1:27.490
4,11,Alessandro ZanardiZAN,Lotus Ford,41,1:27.690
5,27,Jean AlesiALE,Ferrari,30,1:28.317
6,12,Johnny HerbertHER,Lotus Ford,45,1:28.324
7,25,Martin BrundleBRU,Ligier Renault,45,1:28.430
8,0,Damon HillHIL,Williams Renault,19,1:28.590
9,19,Philippe AlliotALL,Larrousse Lamborghini,48,1:28.636
10,7,Michael AndrettiAND,McLaren Ford,30,1:28.803
11,9,Derek WarwickWAR,Footwork Mugen Honda,28,1:28.874
12,30,Jyrki JarvilehtoJAR,Sauber,44,1:29.092
13,29,Karl WendlingerWEN,Sauber,30,1:29.304
14,10,Aguri SuzukiSUZ,Footwork Mugen Honda,29,1:29.332
15,24,Fabrizio BarbazzaBAR,Minardi Ford,39,1:29.646
16,23,Christian FittipaldiFIT,Minardi Ford,22,1:30.438
17,20,Erik ComasCOM,Larrousse Lamborghini,15,1:30.983
18,22,Luca BadoerBAD,Lola Ferrari,46,1:31.751
19,14,Rubens BarrichelloBAR,Jordan Hart,15,1:32.432
20,3,Ukyo KatayamaKAT,Tyrrell Yamaha,19,1:33.541
21,4,Andrea de CesarisDEC,Tyrrell Yamaha,18,1:34.556
22,28,Gerhard BergerBER,Ferrari,8,1:42.881
23,15,Thierry BoutsenBOU,Jordan Hart,1,12:17.162
