Pos,No,Driver,Car,Lap,Time
1,0,Damon HillHIL,Williams Renault,68,1:14.859
2,2,Alain ProstPRO,Williams Renault,45,1:15.780
3,5,Michael SchumacherMSC,Benetton Ford,56,1:16.201
4,26,Mark BlundellBLU,Ligier Renault,47,1:16.793
5,27,Jean AlesiALE,Ferrari,51,1:16.806
6,14,Rubens BarrichelloBAR,Jordan Hart,39,1:17.114
7,6,Riccardo PatresePAT,Benetton Ford,32,1:17.340
8,25,Martin BrundleBRU,Ligier Renault,40,1:17.638
9,29,Karl WendlingerWEN,Sauber,40,1:17.694
10,11,Pedro LamyLAM,Lotus Ford,59,1:17.758
11,7,Mika HakkinenHAK,McLaren Ford,31,1:17.992
12,30,Jyrki JarvilehtoJAR,Sauber,47,1:18.069
13,9,Derek WarwickWAR,Footwork Mugen Honda,60,1:18.134
14,4,Andrea de CesarisDEC,Tyrrell Yamaha,53,1:18.290
15,8,Ayrton SennaSEN,McLaren Ford,17,1:18.365
16,23,Christian FittipaldiFIT,Minardi Ford,68,1:18.581
17,19,Philippe AlliotALL,Larrousse Lamborghini,42,1:18.769
18,24,Pierluigi MartiniMAR,Minardi Ford,53,1:18.806
19,12,Johnny HerbertHER,Lotus Ford,31,1:18.961
20,20,Erik ComasCOM,Larrousse Lamborghini,43,1:19.014
21,28,Gerhard BergerBER,Ferrari,31,1:19.568
22,22,Luca BadoerBAD,Lola Ferrari,49,1:19.602
23,10,Aguri SuzukiSUZ,Footwork Mugen Honda,22,1:20.446
24,21,Michele AlboretoALB,Lola Ferrari,38,1:21.270
25,3,Ukyo KatayamaKAT,Tyrrell Yamaha,5,1:21.563
26,15,Emanuele NaspettiNAS,Jordan Hart,4,1:22.756
