Pos,No,Driver,Car,Lap,Time
1,0,Damon HillHIL,Williams Renault,64,1:15.381
2,2,Alain ProstPRO,Williams Renault,66,1:15.434
3,8,Ayrton SennaSEN,McLaren Ford,70,1:16.128
4,28,Gerhard BergerBER,Ferrari,74,1:16.686
5,5,Michael SchumacherMSC,Benetton Ford,17,1:17.069
6,6,Riccardo PatresePAT,Benetton Ford,67,1:17.478
7,25,Martin BrundleBRU,Ligier Renault,63,1:17.565
8,27,Jean AlesiALE,Ferrari,40,1:17.786
9,29,Karl WendlingerWEN,Sauber,50,1:18.101
10,26,Mark BlundellBLU,Ligier Renault,53,1:18.314
11,10,Aguri SuzukiSUZ,Footwork Mugen Honda,49,1:18.316
12,30,Jyrki JarvilehtoJAR,Sauber,49,1:18.430
13,14,Rubens BarrichelloBAR,Jordan Hart,53,1:18.558
14,9,Derek WarwickWAR,Footwork Mugen Honda,55,1:18.905
15,7,Mika HakkinenHAK,McLaren Ford,17,1:18.960
16,20,Erik ComasCOM,Larrousse Lamborghini,76,1:19.152
17,12,Johnny HerbertHER,Lotus Ford,8,1:20.502
18,4,Andrea de CesarisDEC,Tyrrell Yamaha,36,1:20.625
19,24,Pierluigi MartiniMAR,Minardi Ford,5,1:21.175
20,23,Jean-Marc GounonGOU,Minardi Ford,34,1:21.678
21,15,Eddie IrvineIRV,Jordan Hart,9,1:21.742
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,5,1:22.143
23,19,Toshio  SuzukiSUZ,Larrousse Lamborghini,52,1:22.328
