Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,57,1:21.500
2,2,Alain ProstPRO,Williams Renault,61,1:21.613
3,8,Ayrton SennaSEN,McLaren Ford,57,1:22.015
4,0,Damon HillHIL,Williams Renault,54,1:22.101
5,28,Gerhard BergerBER,Ferrari,57,1:22.776
6,25,Martin BrundleBRU,Ligier Renault,59,1:22.842
7,7,Michael AndrettiAND,McLaren Ford,49,1:22.957
8,29,Karl WendlingerWEN,Sauber,53,1:23.377
9,30,Jyrki JarvilehtoJAR,Sauber,41,1:23.447
10,6,Riccardo PatresePAT,Benetton Ford,48,1:23.778
11,12,Johnny HerbertHER,Lotus Ford,54,1:24.359
12,23,Christian FittipaldiFIT,Minardi Ford,43,1:24.674
13,27,Jean AlesiALE,Ferrari,21,1:24.745
14,20,Erik ComasCOM,Larrousse Lamborghini,58,1:24.791
15,15,Thierry BoutsenBOU,Jordan Hart,54,1:24.874
16,11,Alessandro ZanardiZAN,Lotus Ford,57,1:25.038
17,10,Aguri SuzukiSUZ,Footwork Mugen Honda,53,1:25.614
18,4,Andrea de CesarisDEC,Tyrrell Yamaha,44,1:25.763
19,24,Fabrizio BarbazzaBAR,Minardi Ford,23,1:25.832
20,3,Ukyo KatayamaKAT,Tyrrell Yamaha,62,1:25.833
21,26,Mark BlundellBLU,Ligier Renault,13,1:26.236
22,22,Luca BadoerBAD,Lola Ferrari,47,1:26.440
23,14,Rubens BarrichelloBAR,Jordan Hart,9,1:26.579
24,9,Derek WarwickWAR,Footwork Mugen Honda,54,1:26.657
25,19,Philippe AlliotALL,Larrousse Lamborghini,8,1:26.825
