Pos,No,Driver,Car,Lap,Time
1,8,Ayrton SennaSEN,McLaren Ford,57,1:18.029
2,0,Damon HillHIL,Williams Renault,55,1:19.379
3,2,Alain ProstPRO,Williams Renault,55,1:19.756
4,11,Alessandro ZanardiZAN,Lotus Ford,51,1:20.801
5,23,Christian FittipaldiFIT,Minardi Ford,52,1:21.022
6,9,Derek WarwickWAR,Footwork Mugen Honda,54,1:22.061
7,12,Johnny HerbertHER,Lotus Ford,55,1:22.150
8,20,Erik ComasCOM,Larrousse Lamborghini,52,1:22.200
9,6,Riccardo PatresePAT,Benetton Ford,54,1:22.279
10,14,Rubens BarrichelloBAR,Jordan Hart,55,1:22.307
11,5,Michael SchumacherMSC,Benetton Ford,21,1:22.549
12,27,Jean AlesiALE,Ferrari,21,1:22.550
13,26,Mark BlundellBLU,Ligier Renault,20,1:24.093
14,24,Fabrizio BarbazzaBAR,Minardi Ford,21,1:24.703
15,19,Philippe AlliotALL,Larrousse Lamborghini,19,1:25.078
16,15,Thierry BoutsenBOU,Jordan Hart,19,1:25.532
17,28,Gerhard BergerBER,Ferrari,17,1:26.078
18,4,Andrea de CesarisDEC,Tyrrell Yamaha,51,1:26.419
19,21,Michele AlboretoALB,Lola Ferrari,19,1:28.023
20,10,Aguri SuzukiSUZ,Footwork Mugen Honda,20,1:28.929
21,25,Martin BrundleBRU,Ligier Renault,5,1:33.123
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,5,1:33.528
23,30,Jyrki JarvilehtoJAR,Sauber,2,1:37.749
