Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,61,1:20.024
2,8,Ayrton SennaSEN,McLaren Ford,59,1:20.187
3,0,Damon HillHIL,Williams Renault,53,1:20.794
4,26,Mark BlundellBLU,Ligier Renault,56,1:21.235
5,2,Alain ProstPRO,Williams Renault,24,1:21.780
6,27,Jean AlesiALE,Ferrari,58,1:22.019
7,12,Johnny HerbertHER,Lotus Ford,63,1:22.503
8,11,Alessandro ZanardiZAN,Lotus Ford,70,1:22.539
9,29,Karl WendlingerWEN,Sauber,61,1:22.859
10,9,Derek WarwickWAR,Footwork Mugen Honda,60,1:23.071
11,30,Jyrki JarvilehtoJAR,Sauber,52,1:23.755
12,22,Luca BadoerBAD,Lola Ferrari,60,1:23.774
13,19,Philippe AlliotALL,Larrousse Lamborghini,62,1:23.835
14,20,Erik ComasCOM,Larrousse Lamborghini,56,1:23.877
15,23,Christian FittipaldiFIT,Minardi Ford,22,1:24.211
16,21,Michele AlboretoALB,Lola Ferrari,64,1:24.329
17,14,Rubens BarrichelloBAR,Jordan Hart,12,1:24.798
18,10,Aguri SuzukiSUZ,Footwork Mugen Honda,23,1:25.483
19,4,Andrea de CesarisDEC,Tyrrell Yamaha,48,1:26.032
20,6,Riccardo PatresePAT,Benetton Ford,2,1:26.663
21,3,Ukyo KatayamaKAT,Tyrrell Yamaha,8,1:26.914
