Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,Williams Renault,40,1:19.492
2,30,Jyrki JarvilehtoJAR,Sauber,52,1:20.113
3,5,Michael SchumacherMSC,Benetton Ford,35,1:20.323
4,6,Riccardo PatresePAT,Benetton Ford,46,1:20.591
5,26,Mark BlundellBLU,Ligier Renault,45,1:20.732
6,8,Ayrton SennaSEN,McLaren Ford,38,1:20.755
7,29,Karl WendlingerWEN,Sauber,33,1:20.783
8,20,Erik ComasCOM,Larrousse Lamborghini,50,1:20.897
9,25,Martin BrundleBRU,Ligier Renault,50,1:20.978
10,28,Gerhard BergerBER,Ferrari,55,1:21.118
11,23,Christian FittipaldiFIT,Minardi Ford,34,1:21.790
12,12,Johnny HerbertHER,Lotus Ford,35,1:21.936
13,19,Philippe AlliotALL,Larrousse Lamborghini,22,1:22.108
14,14,Rubens BarrichelloBAR,Jordan Hart,30,1:22.292
15,27,Jean AlesiALE,Ferrari,17,1:22.303
16,9,Derek WarwickWAR,Footwork Mugen Honda,55,1:22.742
17,11,Alessandro ZanardiZAN,Lotus Ford,16,1:23.314
18,21,Michele AlboretoALB,Lola Ferrari,40,1:23.496
19,0,Damon HillHIL,Williams Renault,7,1:23.715
20,7,Michael AndrettiAND,McLaren Ford,4,1:23.807
21,10,Aguri SuzukiSUZ,Footwork Mugen Honda,18,1:24.474
22,24,Fabrizio BarbazzaBAR,Minardi Ford,13,1:24.594
23,22,Luca BadoerBAD,Lola Ferrari,12,1:26.074
24,15,Ivan CapelliCAP,Jordan Hart,2,1:27.277
25,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1,1:43.402
