Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,Williams Renault,53,1:41.176
2,25,Martin BrundleBRU,Ligier Renault,49,1:42.119
3,7,Mika HakkinenHAK,McLaren Ford,13,1:43.158
4,8,Ayrton SennaSEN,McLaren Ford,15,1:43.217
5,26,Mark BlundellBLU,Ligier Renault,50,1:43.610
6,12,Johnny HerbertHER,Lotus Ford,51,1:44.144
7,15,Eddie IrvineIRV,Jordan Hart,46,1:44.293
8,0,Damon HillHIL,Williams Renault,51,1:44.507
9,9,Derek WarwickWAR,Footwork Mugen Honda,46,1:44.761
10,30,Jyrki JarvilehtoJAR,Sauber,50,1:44.802
11,11,Pedro LamyLAM,Lotus Ford,49,1:45.389
12,14,Rubens BarrichelloBAR,Jordan Hart,49,1:45.578
13,28,Gerhard BergerBER,Ferrari,15,1:45.648
14,5,Michael SchumacherMSC,Benetton Ford,3,1:45.988
15,29,Karl WendlingerWEN,Sauber,14,1:46.408
16,10,Aguri SuzukiSUZ,Footwork Mugen Honda,17,1:46.819
17,19,Toshio  SuzukiSUZ,Larrousse Lamborghini,49,1:46.819
18,6,Riccardo PatresePAT,Benetton Ford,5,1:47.373
19,24,Pierluigi MartiniMAR,Minardi Ford,50,1:47.533
20,3,Ukyo KatayamaKAT,Tyrrell Yamaha,15,1:47.816
21,27,Jean AlesiALE,Ferrari,5,1:47.823
22,23,Jean-Marc GounonGOU,Minardi Ford,11,1:48.940
23,20,Erik ComasCOM,Larrousse Lamborghini,4,1:50.230
