Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,40,1:41.859
2,8,Ayrton SennaSEN,McLaren Ford,45,1:42.162
3,2,Alain ProstPRO,Williams Renault,33,1:42.213
4,25,Martin BrundleBRU,Ligier Renault,36,1:42.331
5,0,Damon HillHIL,Williams Renault,39,1:42.574
6,26,Mark BlundellBLU,Ligier Renault,36,1:43.319
7,27,Jean AlesiALE,Ferrari,40,1:44.222
8,6,Riccardo PatresePAT,Benetton Ford,32,1:44.575
9,14,Rubens BarrichelloBAR,Jordan Hart,32,1:45.009
10,29,Karl WendlingerWEN,Sauber,38,1:45.128
11,28,Gerhard BergerBER,Ferrari,33,1:45.489
12,19,Philippe AlliotALL,Larrousse Lamborghini,42,1:45.638
13,12,Johnny HerbertHER,Lotus Ford,41,1:45.767
14,30,Jyrki JarvilehtoJAR,Sauber,22,1:46.085
15,11,Alessandro ZanardiZAN,Lotus Ford,19,1:46.100
16,3,Ukyo KatayamaKAT,Tyrrell Yamaha,26,1:46.186
17,23,Christian FittipaldiFIT,Minardi Ford,29,1:46.323
18,10,Aguri SuzukiSUZ,Footwork Mugen Honda,8,1:47.183
19,9,Derek WarwickWAR,Footwork Mugen Honda,33,1:47.284
20,24,Pierluigi MartiniMAR,Minardi Ford,35,1:47.341
21,15,Thierry BoutsenBOU,Jordan Hart,19,1:47.469
22,7,Michael AndrettiAND,McLaren Ford,3,1:47.505
23,21,Michele AlboretoALB,Lola Ferrari,40,1:48.875
24,22,Luca BadoerBAD,Lola Ferrari,3,1:51.879
25,4,Andrea de CesarisDEC,Tyrrell Yamaha,1,2:38.437
