Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,Williams Renault,52,1:23.604
2,28,Gerhard BergerBER,Ferrari,60,1:23.660
3,8,Ayrton SennaSEN,McLaren Ford,59,1:23.737
4,5,Michael SchumacherMSC,Benetton Ford,18,1:24.177
5,0,Damon HillHIL,Williams Renault,52,1:24.590
6,29,Karl WendlingerWEN,Sauber,43,1:24.947
7,25,Martin BrundleBRU,Ligier Renault,69,1:25.006
8,27,Jean AlesiALE,Ferrari,52,1:25.007
9,7,Michael AndrettiAND,McLaren Ford,55,1:25.102
10,6,Riccardo PatresePAT,Benetton Ford,25,1:25.724
11,11,Alessandro ZanardiZAN,Lotus Ford,38,1:26.317
12,23,Christian FittipaldiFIT,Minardi Ford,59,1:26.500
13,30,Jyrki JarvilehtoJAR,Sauber,15,1:26.559
14,14,Rubens BarrichelloBAR,Jordan Hart,75,1:26.711
15,20,Erik ComasCOM,Larrousse Lamborghini,17,1:26.960
16,19,Philippe AlliotALL,Larrousse Lamborghini,67,1:27.068
17,4,Andrea de CesarisDEC,Tyrrell Yamaha,65,1:27.222
18,9,Derek WarwickWAR,Footwork Mugen Honda,19,1:27.283
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,35,1:27.388
20,12,Johnny HerbertHER,Lotus Ford,21,1:27.480
21,24,Fabrizio BarbazzaBAR,Minardi Ford,63,1:28.235
22,26,Mark BlundellBLU,Ligier Renault,3,1:28.653
23,15,Thierry BoutsenBOU,Jordan Hart,12,1:29.117
24,3,Ukyo KatayamaKAT,Tyrrell Yamaha,21,1:29.315
25,21,Michele AlboretoALB,Lola Ferrari,11,1:29.377
