Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,Williams Renault,52,1:19.633
2,0,Damon HillHIL,Williams Renault,54,1:20.441
3,25,Martin BrundleBRU,Ligier Renault,69,1:20.702
4,28,Gerhard BergerBER,Ferrari,71,1:20.917
5,6,Riccardo PatresePAT,Benetton Ford,32,1:21.101
6,24,Pierluigi MartiniMAR,Minardi Ford,59,1:21.939
7,5,Michael SchumacherMSC,Benetton Ford,20,1:22.031
8,26,Mark BlundellBLU,Ligier Renault,50,1:22.275
9,20,Erik ComasCOM,Larrousse Lamborghini,51,1:22.628
10,29,Karl WendlingerWEN,Sauber,59,1:22.745
11,15,Thierry BoutsenBOU,Jordan Hart,53,1:22.754
12,19,Philippe AlliotALL,Larrousse Lamborghini,57,1:22.757
13,8,Ayrton SennaSEN,McLaren Ford,3,1:22.838
14,9,Derek WarwickWAR,Footwork Mugen Honda,42,1:23.202
15,4,Andrea de CesarisDEC,Tyrrell Yamaha,49,1:23.478
16,10,Aguri SuzukiSUZ,Footwork Mugen Honda,33,1:23.749
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,50,1:23.764
18,12,Johnny HerbertHER,Lotus Ford,34,1:23.800
19,11,Alessandro ZanardiZAN,Lotus Ford,22,1:23.876
20,27,Jean AlesiALE,Ferrari,3,1:24.020
21,22,Luca BadoerBAD,Lola Ferrari,29,1:24.568
22,7,Michael AndrettiAND,McLaren Ford,9,1:24.667
23,23,Christian FittipaldiFIT,Minardi Ford,14,1:24.850
24,30,Jyrki JarvilehtoJAR,Sauber,6,1:25.444
25,21,Michele AlboretoALB,Lola Ferrari,21,1:27.289
