Pos,No,Driver,Car,Time
1,3,Jody ScheckterSCH,Tyrrell Ford,1:25.659
2,5,Mario AndrettiAND,Lotus Ford,1:26.008
3,22,Chris AmonAMO,Ensign Ford,1:26.163
4,4,Patrick DepaillerDEP,Tyrrell Ford,1:26.362
5,1,Niki LaudaLAU,Ferrari,1:26.441
6,6,Gunnar NilssonNIL,Lotus Ford,1:26.570
7,26,Jacques LaffiteLAF,Ligier Matra,1:26.773
8,11,James HuntHUN,McLaren Ford,1:26.958
9,10,Ronnie PetersonPET,March Ford,1:27.040
10,8,Carlos PacePAC,Brabham Alfa Romeo,1:27.133
11,2,Clay RegazzoniREG,Ferrari,1:27.157
12,16,Tom PrycePRY,Shadow Ford,1:27.527
13,12,Jochen MassMAS,McLaren Ford,1:27.568
14,17,Jean-Pierre JarierJAR,Shadow Ford,1:27.618
15,9,Vittorio BrambillaBRA,March Ford,1:27.640
16,7,Carlos ReutemannREU,Brabham Alfa Romeo,1:27.762
17,28,John WatsonWAT,Penske Ford,1:28.065
18,19,Alan  JonesJON,Surtees Ford,1:28.207
19,35,Arturo MerzarioMER,March Ford,1:28.221
20,34,Hans-Joachim StuckSTU,March Ford,1:28.230
21,30,Emerson FittipaldiFIT,Fittipaldi Ford,1:28.670
22,37,Larry PerkinsPER,Boro Ford,1:28.815
23,24,Harald ErtlERT,Hesketh Ford,1:28.885
24,18,Brett LungerLUN,Surtees Ford,1:29.343
25,21,Michel LeclereLEC,Wolf-Williams,1:29.597
26,32,Loris KesselKES,Brabham Ford,1:30.020
