Pos,No,Driver,Car,Time
1,2,Clay RegazzoniREG,Ferrari,1:23.099
2,4,Patrick DepaillerDEP,Tyrrell Ford,1:23.292
3,11,James HuntHUN,McLaren Ford,1:23.420
4,1,Niki LaudaLAU,Ferrari,1:23.647
5,16,Tom PrycePRY,Shadow Ford,1:23.677
6,10,Ronnie PetersonPET,March Ford,1:24.157
7,17,Jean-Pierre JarierJAR,Shadow Ford,1:24.163
8,9,Vittorio BrambillaBRA,March Ford,1:24.168
9,28,John WatsonWAT,Penske Ford,1:24.170
10,7,Carlos ReutemannREU,Brabham Alfa Romeo,1:24.265
11,3,Jody ScheckterSCH,Tyrrell Ford,1:24.344
12,26,Jacques LaffiteLAF,Ligier Matra,1:24.442
13,8,Carlos PacePAC,Brabham Alfa Romeo,1:24.472
14,12,Jochen MassMAS,McLaren Ford,1:24.541
15,27,Mario AndrettiAND,Parnelli Ford,1:24.566
16,30,Emerson FittipaldiFIT,Fittipaldi Ford,1:24.779
17,22,Chris AmonAMO,Ensign Ford,1:24.803
18,34,Hans-Joachim StuckSTU,March Ford,1:25.122
19,19,Alan  JonesJON,Surtees Ford,1:25.214
20,6,Gunnar NilssonNIL,Lotus Ford,1:25.277
