Pos,No,Driver,Car,Time
1,26,Jacques LaffiteLAF,Ligier Matra,1:41.350
2,3,Jody ScheckterSCH,Tyrrell Ford,1:41.380
3,8,Carlos PacePAC,Brabham Alfa Romeo,1:41.530
4,4,Patrick DepaillerDEP,Tyrrell Ford,1:42.060
5,1,Niki LaudaLAU,Ferrari,1:42.090
6,34,Hans-Joachim StuckSTU,March Ford,1:42.180
7,35,Carlos ReutemannREU,Ferrari,1:42.380
8,10,Ronnie PetersonPET,March Ford,1:42.640
9,2,Clay RegazzoniREG,Ferrari,1:42.960
10,22,Jacky IckxICK,Ensign Ford,1:43.290
11,7,Rolf StommelenSTO,Brabham Alfa Romeo,1:43.290
12,6,Gunnar NilssonNIL,Lotus Ford,1:43.300
13,40,Larry PerkinsPER,Boro Ford,1:43.320
14,5,Mario AndrettiAND,Lotus Ford,1:43.340
15,16,Tom PrycePRY,Shadow Ford,1:43.630
16,9,Vittorio BrambillaBRA,March Ford,1:43.940
17,17,Jean-Pierre JarierJAR,Shadow Ford,1:44.050
18,19,Alan  JonesJON,Surtees Ford,1:44.410
19,24,Harald ErtlERT,Hesketh Ford,1:44.560
20,30,Emerson FittipaldiFIT,Fittipaldi Ford,1:44.570
21,37,Alessandro Pesenti-RossiPES,Tyrrell Ford,1:44.620
22,38,Henri PescaroloPES,Surtees Ford,1:45.120
23,25,Guy EdwardsEDW,Hesketh Ford,1:45.790
24,18,Brett LungerLUN,Surtees Ford,1:46.480
25,11,James HuntHUN,McLaren Ford,2:08.760
26,12,Jochen MassMAS,McLaren Ford,2:11.060
27,28,John WatsonWAT,Penske Ford,2:13.950
