Pos,No,Driver,Car,Time
1,11,James HuntHUN,McLaren Ford,1:16.100
2,1,Niki LaudaLAU,Ferrari,1:16.200
3,28,John WatsonWAT,Penske Ford,1:16.430
4,12,Jochen MassMAS,McLaren Ford,1:16.450
5,9,Vittorio BrambillaBRA,March Ford,1:16.640
6,4,Patrick DepaillerDEP,Tyrrell Ford,1:16.770
7,16,Tom PrycePRY,Shadow Ford,1:16.840
8,26,Jacques LaffiteLAF,Ligier Matra,1:16.880
9,2,Clay RegazzoniREG,Ferrari,1:16.940
10,10,Ronnie PetersonPET,March Ford,1:17.030
11,7,Carlos ReutemannREU,Brabham Alfa Romeo,1:17.090
12,3,Jody ScheckterSCH,Tyrrell Ford,1:17.180
13,27,Mario AndrettiAND,Parnelli Ford,1:17.250
14,8,Carlos PacePAC,Brabham Alfa Romeo,1:17.260
15,17,Jean-Pierre JarierJAR,Shadow Ford,1:17.350
16,15,Ian ScheckterSCH,Tyrrell Ford,1:17.400
17,34,Hans-Joachim StuckSTU,March Ford,1:17.440
18,22,Chris AmonAMO,Ensign Ford,1:17.730
19,20,Jacky IckxICK,Wolf-Williams,1:18.130
20,18,Brett LungerLUN,Surtees Ford,1:18.360
21,30,Emerson FittipaldiFIT,Fittipaldi Ford,1:18.400
22,21,Michel LeclereLEC,Wolf-Williams,1:18.820
23,5,Bob EvansEVA,Lotus Ford,1:19.350
24,24,Harald ErtlERT,Hesketh Ford,1:22.110
25,6,Gunnar NilssonNIL,Lotus Ford,1:22.700
