Pos,No,Driver,Car,Laps,Time/retired,Pts
1,11,Jack BrabhamBRA,Cooper Climax,75,2:01:47.200,8
2,4,Innes IrelandIRE,Lotus Climax,75,+24.000s,6
3,16,Graham HillHIL,BRM,75,+56.600s,4
4,7,Stirling MossMOS,Lotus Climax,75,+57.700s,3
5,2,Wolfgang von TripsVON,Ferrari,74,+1 lap,2
6,3,Richie GintherGIN,Ferrari,74,+1 lap,1
7,10,Henry TaylorTAY,Cooper Climax,70,+5 laps,0
8,20,Carel Godin de Beaufort DEB,Cooper Climax,69,+6 laps,0
NC,5,Alan  Stacey STA,Lotus Climax,57,DNF,0
NC,1,Phil HillHIL,Ferrari,54,DNF,0
NC,14,Jo BonnierBON,BRM,54,DNF,0
NC,6,Jim ClarkCLA,Lotus Climax,42,DNF,0
NC,18,Maurice  TrintignantTRI,Cooper Maserati,39,DNF,0
NC,15,Dan GurneyGUR,BRM,11,DNF,0
NC,8,Chris  Bristow BRI,Cooper Climax,9,DNF,0
NC,12,Bruce McLarenMCL,Cooper Climax,8,DNF,0
NC,9,Tony BrooksBRO,Cooper Climax,4,DNF,0
