Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Jack BrabhamBRA,Cooper Climax,36,2:21:37.300,8
2,4,Bruce McLarenMCL,Cooper Climax,36,+63.300s,6
NC,10,Graham HillHIL,BRM,35,DNF,0
3,34,Olivier  GendebienGEN,Cooper Climax,35,+1 lap,4
4,24,Phil HillHIL,Ferrari,35,+1 lap,3
5,18,Jim ClarkCLA,Lotus Climax,34,+2 laps,2
6,32,Lucien BianchiBIA,Cooper Climax,28,+8 laps,1
NC,16,Alan  Stacey STA,Lotus Climax,24,DNF,0
NC,22,Willy MairesseMAI,Ferrari,23,DNF,0
NC,26,Wolfgang von TripsVON,Ferrari,22,DNF,0
NC,36,Chris  Bristow BRI,Cooper Climax,19,DNF,0
NC,30,Chuck  Daigh DAI,Scarab,16,DNF,0
NC,6,Jo BonnierBON,BRM,14,DNF,0
NC,14,Innes IrelandIRE,Lotus Climax,13,DNF,0
NC,8,Dan GurneyGUR,BRM,4,DNF,0
NC,38,Tony BrooksBRO,Cooper Climax,2,DNF,0
NC,28,Lance  Reventlow REV,Scarab,1,DNF,0
