Pos,No,Driver,Car,Laps,Time/retired,Pts
1,4,Jim RathmannRAT,Watson Offenhauser,200,3:36:11.360,8
2,1,Rodger WardWAR,Watson Offenhauser,200,+12.749s,6
3,99,Paul GoldsmithGOL,Epperly Offenhauser,200,,4
4,7,Don  BransonBRA,Phillips Offenhauser,200,,3
5,3,Johnny ThomsonTHO,Lesovsky Offenhauser,200,,2
6,22,Eddie JohnsonJOH,Trevis Offenhauser,200,,1
7,98,Lloyd  Ruby RUB,Watson Offenhauser,200,,0
8,44,Bob  VeithVEI,Meskowski Offenhauser,200,,0
9,18,Bud  TingelstadTIN,Trevis Offenhauser,200,,0
10,38,Bob  ChristieCHR,Kurtis Kraft Offenhauser,200,,0
11,27,Red  AmickAMI,Epperly Offenhauser,200,,0
12,17,Duane CarterCAR,Kuzma Offenhauser,200,,0
13,39,Bill HomeierHOM,Kuzma Offenhauser,200,,0
14,48,Gene HartleyHAR,Kurtis Kraft Offenhauser,196,+4 laps,0
15,65,Chuck  StevensonSTE,Watson Offenhauser,196,+4 laps,0
16,14,Bobby  GrimGRI,Meskowski Offenhauser,194,+6 laps,0
17,26,Shorty  TemplemanTEM,Kurtis Kraft Offenhauser,191,+9 laps,0
18,56,Jim  HurtubiseHUR,Christensen Offenhauser,185,DNF,0
19,10,Jimmy BryanBRY,Epperly Offenhauser,152,DNF,0
20,28,Troy RuttmanRUT,Watson Offenhauser,134,DNF,0
21,6,Eddie  SachsSAC,Ewing Offenhauser,132,DNF,0
22,73,Don  FreelandFRE,Kurtis Kraft Offenhauser,129,DNF,0
23,2,Tony  BettenhausenBET,Watson Offenhauser,125,DNF,0
24,32,Wayne  WeilerWEI,Epperly Offenhauser,103,DNF,0
25,5,Anthony Joseph FoytFOY,Kurtis Kraft Offenhauser,90,DNF,0
26,46,Eddie  RussoRUS,Kurtis Kraft Offenhauser,84,DNF,0
27,8,Johnny  BoydBOY,Epperly Offenhauser,77,DNF,0
28,37,Gene ForceFOR,Kurtis Kraft Offenhauser,74,DNF,0
29,16,Jim  McWitheyMCW,Epperly Offenhauser,60,DNF,0
30,9,Len  SuttonSUT,Watson Offenhauser,47,DNF,0
31,97,Dick RathmannRAT,Watson Offenhauser,42,DNF,0
32,76,Al  HermanHER,Ewing Offenhauser,34,DNF,0
33,23,Dempsey  WilsonWIL,Kurtis Kraft Offenhauser,11,DNF,0
