Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Jack BrabhamBRA,Cooper Climax,55,2:19:00.030,8
2,4,Bruce McLarenMCL,Cooper Climax,55,+57.970s,6
3,14,Jim ClarkCLA,Lotus Climax,55,+113.230s,4
4,28,Wolfgang von TripsVON,Ferrari,55,+118.810s,3
DQ,12,Stirling MossMOS,Lotus Climax,50,DSQ,0
5,6,Tony BrooksBRO,Cooper Climax,49,+6 laps,2
6,16,Innes IrelandIRE,Lotus Climax,48,+7 laps,1
7,8,Olivier  GendebienGEN,Cooper Climax,46,+9 laps,0
NC,32,Mario  de Araujo Cabral DEA,Cooper Maserati,37,DNF,0
NC,18,John SurteesSUR,Lotus Climax,36,DNF,0
NC,26,Phil HillHIL,Ferrari,29,DNF,0
NC,24,Dan GurneyGUR,BRM,24,DNF,0
NC,30,Masten GregoryGRE,Cooper Maserati,21,DNF,0
NC,22,Graham HillHIL,BRM,8,DNF,0
NC,20,Jo BonnierBON,BRM,6,DNF,0
