Pos,No,Driver,Car,Time,Gap,Laps
1,1,Fernando AlonsoALO,Renault,1:25.043,,15
2,5,Michael SchumacherMSC,Ferrari,1:25.371,+0.328s,13
3,38,Robert KubicaKUB,Sauber BMW,1:25.421,+0.378s,31
4,36,Anthony DavidsonDAV,Honda,1:25.699,+0.656s,31
5,6,Felipe MassaMAS,Ferrari,1:25.879,+0.836s,16
6,2,Giancarlo FisichellaFIS,Renault,1:25.991,+0.948s,15
7,8,Jarno TrulliTRU,Toyota,1:26.029,+0.986s,24
8,35,Alexander WurzWUR,Williams Cosworth,1:26.328,+1.285s,31
9,4,Juan Pablo MontoyaMOY,McLaren Mercedes,1:26.334,+1.291s,15
10,16,Nick HeidfeldHEI,Sauber BMW,1:26.387,+1.344s,7
11,12,Jenson ButtonBUT,Honda,1:26.427,+1.384s,12
12,3,Kimi RäikkönenRAI,McLaren Mercedes,1:26.500,+1.457s,16
13,11,Rubens BarrichelloBAR,Honda,1:26.653,+1.610s,19
14,19,Christijan AlbersALB,MF1 Toyota,1:26.783,+1.740s,24
15,17,Jacques VilleneuveVIL,Sauber BMW,1:26.797,+1.754s,13
16,37,Robert DoornbosDOO,RBR Ferrari,1:26.917,+1.874s,27
17,10,Nico RosbergROS,Williams Cosworth,1:26.989,+1.946s,10
18,20,Vitantonio LiuzziLIU,STR Cosworth,1:27.128,+2.085s,24
19,9,Mark WebberWEB,Williams Cosworth,1:27.157,+2.114s,6
20,14,David CoulthardCOU,RBR Ferrari,1:27.503,+2.460s,12
21,18,Tiago MonteiroMON,MF1 Toyota,1:27.544,+2.501s,20
22,7,Ralf SchumacherRSC,Toyota,1:27.639,+2.596s,5
23,21,Scott SpeedSPE,STR Cosworth,1:27.719,+2.676s,25
24,15,Christian KlienKLI,RBR Ferrari,1:27.990,+2.947s,12
25,40,Neel JaniJAN,STR Cosworth,1:28.361,+3.318s,21
26,39,Giorgio MondiniMOD,MF1 Toyota,1:28.833,+3.790s,27
27,22,Takuma SatoSAT,Super Aguri Honda,1:29.870,+4.827s,23
28,23,Yuji IdeIDE,Super Aguri Honda,1:31.042,+5.999s,20
