Pos,No,Driver,Car,Time
1,15,Sebastian VettelVET,RBR Renault,1:28.316
2,22,Jenson ButtonBUT,Brawn Mercedes,1:28.421
3,23,Rubens BarrichelloBAR,Brawn Mercedes,1:28.579
4,14,Mark WebberWEB,RBR Renault,1:28.613
5,9,Jarno TrulliTRU,Toyota,1:28.666
6,4,Kimi RäikkönenRAI,Ferrari,1:28.815
7,3,Felipe MassaMAS,Ferrari,1:28.858
8,7,Fernando AlonsoALO,Renault,1:29.075
9,16,Nico RosbergROS,Williams Toyota,1:29.191
10,5,Robert KubicaKUB,Sauber BMW,1:29.357
11,6,Nick HeidfeldHEI,Sauber BMW,1:27.521
12,17,Kazuki NakajimaNAK,Williams Toyota,1:27.629
13,10,Timo GlockGLO,Toyota,1:27.795
14,2,Heikki KovalainenKOV,McLaren Mercedes,1:28.207
15,20,Adrian SutilSUT,Force India Mercedes,1:28.391
16,1,Lewis HamiltonHAM,McLaren Mercedes,1:28.318
17,8,Nelson PiquetPIQ,Renault,1:28.582
18,12,Sebastien BuemiBUE,STR Ferrari,1:28.708
19,21,Giancarlo FisichellaFIS,Force India Mercedes,1:28.717
20,11,Sebastien BourdaisBOU,STR Ferrari,1:28.918
