Pos,No,Driver,Car,Time
1,9,Jarno TrulliTRU,Toyota,1:33.431
2,10,Timo GlockGLO,Toyota,1:33.712
3,15,Sebastian VettelVET,RBR Renault,1:34.015
4,22,Jenson ButtonBUT,Brawn Mercedes,1:34.044
5,1,Lewis HamiltonHAM,McLaren Mercedes,1:34.196
6,23,Rubens BarrichelloBAR,Brawn Mercedes,1:34.239
7,7,Fernando AlonsoALO,Renault,1:34.578
8,3,Felipe MassaMAS,Ferrari,1:34.818
9,16,Nico RosbergROS,Williams Toyota,1:35.134
10,4,Kimi RäikkönenRAI,Ferrari,1:35.380
11,2,Heikki KovalainenKOV,McLaren Mercedes,1:33.242
12,17,Kazuki NakajimaNAK,Williams Toyota,1:33.348
13,5,Robert KubicaKUB,Sauber BMW,1:33.487
14,6,Nick HeidfeldHEI,Sauber BMW,1:33.562
15,8,Nelson PiquetPIQ,Renault,1:33.941
16,12,Sebastien BuemiBUE,STR Ferrari,1:33.753
17,21,Giancarlo FisichellaFIS,Force India Mercedes,1:33.910
18,14,Mark WebberWEB,RBR Renault,1:34.038
19,20,Adrian SutilSUT,Force India Mercedes,1:33.722
20,11,Sebastien BourdaisBOU,STR Ferrari,1:34.159
