Pos,No,Driver,Car,Time
1,22,Jenson ButtonBUT,Brawn Mercedes,1:35.181
2,9,Jarno TrulliTRU,Toyota,1:35.273
3,10,Timo GlockGLO,Toyota,1:35.690
4,16,Nico RosbergROS,Williams Toyota,1:35.750
5,14,Mark WebberWEB,RBR Renault,1:35.797
6,5,Robert KubicaKUB,Sauber BMW,1:36.106
7,4,Kimi RäikkönenRAI,Ferrari,1:36.170
8,23,Rubens BarrichelloBAR,Brawn Mercedes,1:35.651
9,7,Fernando AlonsoALO,Renault,1:37.659
10,6,Nick HeidfeldHEI,Sauber BMW,1:34.769
11,17,Kazuki NakajimaNAK,Williams Toyota,1:34.788
12,1,Lewis HamiltonHAM,McLaren Mercedes,1:34.905
13,15,Sebastian VettelVET,RBR Renault,1:35.518
14,2,Heikki KovalainenKOV,McLaren Mercedes,1:34.924
15,11,Sebastien BourdaisBOU,STR Ferrari,1:35.431
16,3,Felipe MassaMAS,Ferrari,1:35.642
17,8,Nelson PiquetPIQ,Renault,1:35.708
18,21,Giancarlo FisichellaFIS,Force India Mercedes,1:35.908
19,20,Adrian SutilSUT,Force India Mercedes,1:35.951
20,12,Sebastien BuemiBUE,STR Ferrari,1:36.107
