Pos,No,Driver,Car,Time
1,1,Lewis HamiltonHAM,McLaren Mercedes,1:47.891
2,15,Sebastian VettelVET,RBR Renault,1:48.204
3,16,Nico RosbergROS,Williams Toyota,1:48.348
4,14,Mark WebberWEB,RBR Renault,1:48.722
5,7,Fernando AlonsoALO,Renault,1:49.054
6,10,Timo GlockGLO,Toyota,1:49.180
7,5,Robert KubicaKUB,Sauber BMW,1:49.514
8,2,Heikki KovalainenKOV,McLaren Mercedes,1:49.778
9,23,Rubens BarrichelloBAR,Brawn Mercedes,1:48.828
10,17,Kazuki NakajimaNAK,Williams Toyota,1:47.013
11,22,Jenson ButtonBUT,Brawn Mercedes,1:47.141
12,4,Kimi RäikkönenRAI,Ferrari,1:47.177
13,12,Sebastien BuemiBUE,STR Ferrari,1:47.369
14,9,Jarno TrulliTRU,Toyota,1:47.413
15,20,Adrian SutilSUT,Force India Mercedes,1:48.231
16,11,Jaime AlguersuariALG,STR Ferrari,1:48.340
17,3,Giancarlo FisichellaFIS,Ferrari,1:48.350
18,8,Romain GrosjeanGRO,Renault,1:48.544
19,21,Vitantonio LiuzziLIU,Force India Mercedes,1:48.792
