Pos,No,Driver,Car,Time
1,77,Valtteri BottasBOT,Mercedes,1:25.093
2,44,Lewis HamiltonHAM,Mercedes,1:25.099
3,16,Charles LeclercLEC,Ferrari,1:25.172
4,33,Max VerstappenVER,Red Bull Racing Honda,1:25.276
5,10,Pierre GaslyGAS,Red Bull Racing Honda,1:25.590
6,5,Sebastian VettelVET,Ferrari,1:25.787
7,3,Daniel RicciardoRIC,Renault,1:26.182
8,4,Lando NorrisNOR,McLaren Renault,1:26.224
9,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:26.345
10,27,Nico HulkenbergHUL,Renault,1:26.386
11,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:26.519
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:26.546
13,55,Carlos SainzSAI,McLaren Renault,1:26.578
14,8,Romain GrosjeanGRO,Haas Ferrari,1:26.757
15,11,Sergio PerezPER,Racing Point BWT Mercedes,1:26.928
16,20,Kevin MagnussenMAG,Haas Ferrari,1:26.662
17,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:26.721
18,18,Lance StrollSTR,Racing Point BWT Mercedes,1:26.762
19,63,George RussellRUS,Williams Mercedes,1:27.789
20,88,Robert KubicaKUB,Williams Mercedes,1:28.257
