Pos,No,Driver,Car,Time
1,33,Max VerstappenVER,Red Bull Racing Honda,1:07.508
2,5,Sebastian VettelVET,Ferrari,1:07.631
3,44,Lewis HamiltonHAM,Mercedes,1:07.699
4,77,Valtteri BottasBOT,Mercedes,1:07.874
5,23,Alexander AlbonALB,Red Bull Racing Honda,1:07.935
6,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:08.837
7,8,Romain GrosjeanGRO,Haas Ferrari,1:08.854
8,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:08.984
9,20,Kevin MagnussenMAG,Haas Ferrari,1:09.037
10,4,Lando NorrisNOR,McLaren Renault,1:08.868
11,3,Daniel RicciardoRIC,Renault,1:08.903
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:08.919
13,27,Nico HulkenbergHUL,Renault,1:08.921
14,16,Charles LeclercLEC,Ferrari,1:07.728
15,11,Sergio PerezPER,Racing Point BWT Mercedes,1:09.035
16,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:09.320
17,18,Lance StrollSTR,Racing Point BWT Mercedes,1:09.536
18,63,George RussellRUS,Williams Mercedes,1:10.126
19,88,Robert KubicaKUB,Williams Mercedes,1:10.614
20,55,Carlos SainzSAI,McLaren Renault,
