Pos,No,Driver,Car,Time
1,77,Valtteri BottasBOT,Mercedes,1:40.495
2,44,Lewis HamiltonHAM,Mercedes,1:40.554
3,5,Sebastian VettelVET,Ferrari,1:40.797
4,33,Max VerstappenVER,Red Bull Racing Honda,1:41.069
5,11,Sergio PerezPER,Racing Point BWT Mercedes,1:41.593
6,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:41.681
7,4,Lando NorrisNOR,McLaren Renault,1:41.886
8,16,Charles LeclercLEC,Ferrari,
9,55,Carlos SainzSAI,McLaren Renault,1:42.398
10,3,Daniel RicciardoRIC,Renault,1:42.477
11,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:42.494
12,20,Kevin MagnussenMAG,Haas Ferrari,1:42.699
13,18,Lance StrollSTR,Racing Point BWT Mercedes,1:42.630
14,8,Romain GrosjeanGRO,Haas Ferrari,1:43.407
15,27,Nico HulkenbergHUL,Renault,1:43.427
16,63,George RussellRUS,Williams Mercedes,1:45.062
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:42.424
18,88,Robert KubicaKUB,Williams Mercedes,1:45.455
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:43.068
20,10,Pierre GaslyGAS,Red Bull Racing Honda,1:41.335
