Pos,No,Driver,Car,Time
1,16,Charles LeclercLEC,Ferrari,1:36.217
2,44,Lewis HamiltonHAM,Mercedes,1:36.408
3,5,Sebastian VettelVET,Ferrari,1:36.437
4,33,Max VerstappenVER,Red Bull Racing Honda,1:36.813
5,77,Valtteri BottasBOT,Mercedes,1:37.146
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:37.411
7,55,Carlos SainzSAI,McLaren Renault,1:37.818
8,27,Nico HulkenbergHUL,Renault,1:38.264
9,4,Lando NorrisNOR,McLaren Renault,1:38.329
10,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:38.697
11,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:38.699
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:38.858
13,20,Kevin MagnussenMAG,Haas Ferrari,1:39.650
14,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:39.957
15,11,Sergio PerezPER,Racing Point BWT Mercedes,1:38.620
16,18,Lance StrollSTR,Racing Point BWT Mercedes,1:39.979
17,8,Romain GrosjeanGRO,Haas Ferrari,1:40.277
18,63,George RussellRUS,Williams Mercedes,1:40.867
19,88,Robert KubicaKUB,Williams Mercedes,1:41.186
20,3,Daniel RicciardoRIC,Renault,
