Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:34.779
2,33,Max VerstappenVER,Red Bull Racing Honda,1:35.139
3,16,Charles LeclercLEC,Ferrari,1:35.219
4,5,Sebastian VettelVET,Ferrari,1:35.339
5,23,Alexander AlbonALB,Red Bull Racing Honda,1:35.682
6,4,Lando NorrisNOR,McLaren Renault,1:36.436
7,3,Daniel RicciardoRIC,Renault,1:36.456
8,55,Carlos SainzSAI,McLaren Renault,1:36.459
9,27,Nico HulkenbergHUL,Renault,1:36.710
10,11,Sergio PerezPER,Racing Point BWT Mercedes,1:37.055
11,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:37.089
12,18,Lance StrollSTR,Racing Point BWT Mercedes,1:37.103
13,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:37.141
14,20,Kevin MagnussenMAG,Haas Ferrari,1:37.254
15,8,Romain GrosjeanGRO,Haas Ferrari,1:38.051
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:38.114
17,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:38.383
18,63,George RussellRUS,Williams Mercedes,1:38.717
19,88,Robert KubicaKUB,Williams Mercedes,1:39.236
20,77,Valtteri BottasBOT,Mercedes,1:34.973
