Pos,No,Driver,Car,Time
1,16,Rene ArnouxARN,Renault,1:33.988
2,15,Jean-Pierre JabouilleJAB,Renault,1:34.339
3,28,Carlos ReutemannREU,Williams Ford,1:34.686
4,23,Bruno GiacomelliGIA,Alfa Romeo,1:34.912
5,5,Nelson PiquetPIQ,Brabham Ford,1:34.960
6,27,Alan  JonesJON,Williams Ford,1:35.109
7,29,Riccardo PatresePAT,Arrows Ford,1:35.618
8,2,Gilles VilleneuveVIL,Ferrari,1:35.751
9,6,Hector RebaqueREB,Brabham Ford,1:35.872
10,11,Mario AndrettiAND,Lotus Ford,1:36.084
11,21,Keke RosbergROS,Fittipaldi Ford,1:36.091
12,3,Jean-Pierre JarierJAR,Tyrrell Ford,1:36.181
13,25,Didier PironiPIR,Ligier Ford,1:36.422
14,7,John WatsonWAT,McLaren Ford,1:36.450
15,20,Emerson FittipaldiFIT,Fittipaldi Ford,1:36.758
16,1,Jody ScheckterSCH,Ferrari,1:36.827
17,31,Eddie  CheeverCHE,Osella Ford,1:36.884
18,12,Elio de AngelisDEA,Lotus Ford,1:36.919
19,22,Vittorio BrambillaBRA,Alfa Romeo,1:36.929
20,26,Jacques LaffiteLAF,Ligier Ford,1:36.972
21,50,Rupert KeeganKEE,Williams Ford,1:37.169
22,4,Derek DalyDAL,Tyrrell Ford,1:37.215
23,9,Marc SurerSUR,ATS Ford,1:37.270
24,8,Alain ProstPRO,McLaren Ford,1:37.284
