Pos,No,Driver,Car,Time
1,23,Bruno GiacomelliGIA,Alfa Romeo,1:33.291
2,5,Nelson PiquetPIQ,Brabham Ford,1:34.080
3,28,Carlos ReutemannREU,Williams Ford,1:34.111
4,12,Elio de AngelisDEA,Lotus Ford,1:34.185
5,27,Alan  JonesJON,Williams Ford,1:34.216
6,16,Rene ArnouxARN,Renault,1:34.839
7,25,Didier PironiPIR,Ligier Ford,1:34.971
8,6,Hector RebaqueREB,Brabham Ford,1:35.166
9,7,John WatsonWAT,McLaren Ford,1:35.202
10,22,Andrea de CesarisDEC,Alfa Romeo,1:35.235
11,11,Mario AndrettiAND,Lotus Ford,1:35.343
12,26,Jacques LaffiteLAF,Ligier Ford,1:35.421
14,21,Keke RosbergROS,Fittipaldi Ford,1:36.332
15,50,Rupert KeeganKEE,Williams Ford,1:36.750
16,31,Eddie  CheeverCHE,Osella Ford,1:36.908
17,9,Marc SurerSUR,ATS Ford,1:37.001
18,2,Gilles VilleneuveVIL,Ferrari,1:37.040
19,20,Emerson FittipaldiFIT,Fittipaldi Ford,1:37.088
20,29,Riccardo PatresePAT,Arrows Ford,1:37.405
21,4,Derek DalyDAL,Tyrrell Ford,1:37.923
22,3,Jean-Pierre JarierJAR,Tyrrell Ford,1:37.966
23,1,Jody ScheckterSCH,Ferrari,1:38.149
24,30,Jochen MassMAS,Arrows Ford,1:38.526
25,14,Jan LammersLAM,Ensign Ford,1:38.532
