Pos,No,Driver,Car,Time
1,15,Jean-Pierre JabouilleJAB,Renault,2:21.400
2,25,Didier PironiPIR,Ligier Ford,2:21.650
3,2,Gilles VilleneuveVIL,Ferrari,2:22.170
4,28,Carlos ReutemannREU,Williams Ford,1:22.260
5,26,Jacques LaffiteLAF,Ligier Ford,2:22.300
6,16,Rene ArnouxARN,Renault,2:22.310
7,12,Elio de AngelisDEA,Lotus Ford,2:22.400
8,1,Jody ScheckterSCH,Ferrari,2:23.020
9,5,Nelson PiquetPIQ,Brabham Ford,2:23.160
10,27,Alan  JonesJON,Williams Ford,2:23.380
11,11,Mario AndrettiAND,Lotus Ford,2:23.460
12,14,Clay RegazzoniREG,Ensign Ford,2:24.850
13,8,Alain ProstPRO,McLaren Ford,2:24.950
14,29,Riccardo PatresePAT,Arrows Ford,2:25.060
15,21,Keke RosbergROS,Fittipaldi Ford,2:25.740
16,30,Jochen MassMAS,Arrows Ford,2:25.750
17,23,Bruno GiacomelliGIA,Alfa Romeo,2:25.800
18,6,Ricardo ZuninoZUN,Brabham Ford,2:26.530
19,20,Emerson FittipaldiFIT,Fittipaldi Ford,2:26.860
20,9,Marc SurerSUR,ATS Ford,2:27.100
21,22,Patrick DepaillerDEP,Alfa Romeo,2:27.110
22,3,Jean-Pierre JarierJAR,Tyrrell Ford,2:27.150
23,7,John WatsonWAT,McLaren Ford,2:27.290
24,4,Derek DalyDAL,Tyrrell Ford,2:28.210
