Pos,No,Driver,Car,Time
1,16,Rene ArnouxARN,Renault,1:17.440
2,15,Jean-Pierre JabouilleJAB,Renault,1:17.740
3,28,Carlos ReutemannREU,Williams Ford,1:17.810
4,27,Alan  JonesJON,Williams Ford,1:17.820
5,5,Nelson PiquetPIQ,Brabham Ford,1:17.850
6,26,Jacques LaffiteLAF,Ligier Ford,1:18.150
7,2,Gilles VilleneuveVIL,Ferrari,1:18.400
8,23,Bruno GiacomelliGIA,Alfa Romeo,1:18.520
9,7,John WatsonWAT,McLaren Ford,1:18.530
10,11,Mario AndrettiAND,Lotus Ford,1:18.600
11,12,Elio de AngelisDEA,Lotus Ford,1:18.740
12,1,Jody ScheckterSCH,Ferrari,1:18.870
13,6,Hector RebaqueREB,Brabham Ford,1:18.890
14,29,Riccardo PatresePAT,Arrows Ford,1:18.900
15,25,Didier PironiPIR,Ligier Ford,1:18.940
16,43,Nigel MansellMAN,Lotus Ford,1:18.970
17,3,Jean-Pierre JarierJAR,Tyrrell Ford,1:18.980
18,8,Alain ProstPRO,McLaren Ford,1:19.070
19,31,Eddie  CheeverCHE,Osella Ford,1:19.380
20,9,Marc SurerSUR,ATS Ford,1:19.440
21,20,Emerson FittipaldiFIT,Fittipaldi Ford,1:19.570
22,22,Vittorio BrambillaBRA,Alfa Romeo,1:19.600
23,4,Derek DalyDAL,Tyrrell Ford,1:19.680
24,41,Geoff LeesLEE,Ensign Ford,1:19.720
