Pos,No,Driver,Car,Lap,Time
1,6,Jacques VilleneuveVIL,Williams Renault,27,1:33.421
2,5,Damon HillHIL,Williams Renault,27,1:33.621
3,1,Michael SchumacherMSC,Ferrari,18,1:33.651
4,2,Eddie IrvineIRV,Ferrari,37,1:34.533
5,4,Gerhard BergerBER,Benetton Renault,26,1:34.757
6,9,Olivier PanisPAN,Ligier Mugen Honda,21,1:34.767
7,11,Rubens BarrichelloBAR,Jordan Peugeot,27,1:35.064
8,19,Mika SaloSAL,Tyrrell Yamaha,39,1:35.280
9,3,Jean AlesiALE,Benetton Renault,8,1:35.519
10,15,Heinz-Harald FrentzenFRE,Sauber Ford,43,1:35.596
11,7,Mika HakkinenHAK,McLaren Mercedes,49,1:35.843
12,18,Ukyo KatayamaKAT,Tyrrell Yamaha,44,1:36.377
13,16,Ricardo RossetROS,Footwork Hart,45,1:36.557
14,17,Jos VerstappenVER,Footwork Hart,13,1:36.649
15,10,Pedro DinizDIN,Ligier Mugen Honda,24,1:37.024
16,8,David CoulthardCOU,McLaren Mercedes,13,1:37.746
17,21,Giancarlo FisichellaFIS,Minardi Ford,5,1:38.077
18,20,Pedro LamyLAM,Minardi Ford,4,1:38.784
19,12,Martin BrundleBRU,Jordan Peugeot,1,1:56.481
