Pos,No,Driver,Car,Lap,Time
1,3,Jean AlesiALE,Benetton Renault,59,1:25.205
2,9,Olivier PanisPAN,Ligier Mugen Honda,65,1:25.581
3,15,Heinz-Harald FrentzenFRE,Sauber Ford,66,1:25.608
4,2,Eddie IrvineIRV,Ferrari,48,1:26.120
5,8,David CoulthardCOU,McLaren Mercedes,68,1:26.238
6,19,Mika SaloSAL,Tyrrell Yamaha,68,1:26.461
7,7,Mika HakkinenHAK,McLaren Mercedes,69,1:26.482
8,6,Jacques VilleneuveVIL,Williams Renault,65,1:26.682
9,14,Johnny HerbertHER,Sauber Ford,68,1:26.852
10,5,Damon HillHIL,Williams Renault,40,1:28.523
11,22,Luca BadoerBAD,Forti Ford,45,1:33.305
12,12,Martin BrundleBRU,Jordan Peugeot,30,1:35.477
13,4,Gerhard BergerBER,Benetton Renault,8,1:49.966
14,10,Pedro DinizDIN,Ligier Mugen Honda,5,1:53.469
15,18,Ukyo KatayamaKAT,Tyrrell Yamaha,2,1:55.722
16,16,Ricardo RossetROS,Footwork Hart,3,1:58.465
