Pos,No,Driver,Car,Lap,Time
1,4,Gerhard BergerBER,Benetton Renault,42,1:53.067
2,5,Damon HillHIL,Williams Renault,40,1:53.441
3,6,Jacques VilleneuveVIL,Williams Renault,38,1:53.587
4,1,Michael SchumacherMSC,Ferrari,41,1:53.905
5,7,Mika HakkinenHAK,McLaren Mercedes,23,1:54.198
6,8,David CoulthardCOU,McLaren Mercedes,21,1:54.655
7,3,Jean AlesiALE,Benetton Renault,37,1:54.685
8,12,Martin BrundleBRU,Jordan Peugeot,33,1:55.616
9,2,Eddie IrvineIRV,Ferrari,10,1:55.753
10,19,Mika SaloSAL,Tyrrell Yamaha,42,1:55.854
11,17,Jos VerstappenVER,Footwork Hart,7,1:56.704
12,11,Rubens BarrichelloBAR,Jordan Peugeot,18,1:56.943
13,18,Ukyo KatayamaKAT,Tyrrell Yamaha,41,1:57.149
14,20,Pedro LamyLAM,Minardi Ford,36,1:57.468
15,16,Ricardo RossetROS,Footwork Hart,33,1:57.809
16,10,Pedro DinizDIN,Ligier Mugen Honda,6,1:58.665
