Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Ferrari,14,1:45.517
2,11,Rubens BarrichelloBAR,Jordan Peugeot,40,1:47.735
3,17,Jos VerstappenVER,Footwork Hart,29,1:48.302
4,3,Jean AlesiALE,Benetton Renault,61,1:48.509
5,6,Jacques VilleneuveVIL,Williams Renault,63,1:48.707
6,14,Johnny HerbertHER,Sauber Ford,13,1:48.846
7,15,Heinz-Harald FrentzenFRE,Sauber Ford,12,1:48.955
8,12,Martin BrundleBRU,Jordan Peugeot,14,1:49.026
9,4,Gerhard BergerBER,Benetton Renault,14,1:49.097
10,7,Mika HakkinenHAK,McLaren Mercedes,55,1:49.771
11,10,Pedro DinizDIN,Ligier Mugen Honda,13,1:50.636
12,5,Damon HillHIL,Williams Renault,10,1:50.987
13,19,Mika SaloSAL,Tyrrell Yamaha,12,1:51.734
14,18,Ukyo KatayamaKAT,Tyrrell Yamaha,8,1:55.116
15,2,Eddie IrvineIRV,Ferrari,1,1:59.611
