Pos,No,Driver,Car,Lap,Time
1,5,Damon HillHIL,Williams Renault,26,1:46.504
2,3,Jean AlesiALE,Benetton Renault,3,1:47.643
3,4,Gerhard BergerBER,Benetton Renault,22,1:47.682
4,8,David CoulthardCOU,McLaren Mercedes,31,1:47.856
5,6,Jacques VilleneuveVIL,Williams Renault,25,1:47.903
6,9,Olivier PanisPAN,Ligier Mugen Honda,6,1:48.288
7,2,Eddie IrvineIRV,Ferrari,8,1:48.336
8,7,Mika HakkinenHAK,McLaren Mercedes,8,1:48.490
9,1,Michael SchumacherMSC,Ferrari,11,1:48.612
10,12,Martin BrundleBRU,Jordan Peugeot,24,1:49.176
11,11,Rubens BarrichelloBAR,Jordan Peugeot,26,1:49.559
12,10,Pedro DinizDIN,Ligier Mugen Honda,6,1:49.625
13,15,Heinz-Harald FrentzenFRE,Sauber Ford,34,1:49.773
14,14,Johnny HerbertHER,Sauber Ford,18,1:50.304
15,19,Mika SaloSAL,Tyrrell Yamaha,25,1:50.553
16,18,Ukyo KatayamaKAT,Tyrrell Yamaha,19,1:50.569
17,20,Pedro LamyLAM,Minardi Ford,6,1:51.654
18,16,Ricardo RossetROS,Footwork Hart,5,1:51.702
