Pos,No,Driver,Car,Lap,Time
1,6,Jacques VilleneuveVIL,Williams Renault,37,1:22.873
2,5,Damon HillHIL,Williams Renault,37,1:23.762
3,1,Michael SchumacherMSC,Ferrari,38,1:24.059
4,3,Jean AlesiALE,Benetton Renault,5,1:24.331
5,4,Gerhard BergerBER,Benetton Renault,47,1:24.647
6,7,Mika HakkinenHAK,McLaren Mercedes,24,1:24.747
7,15,Heinz-Harald FrentzenFRE,Sauber Ford,24,1:24.869
8,11,Rubens BarrichelloBAR,Jordan Peugeot,18,1:24.954
9,9,Olivier PanisPAN,Ligier Mugen Honda,58,1:25.008
10,12,Martin BrundleBRU,Jordan Peugeot,36,1:25.028
11,2,Eddie IrvineIRV,Ferrari,25,1:25.206
12,8,David CoulthardCOU,McLaren Mercedes,49,1:25.362
13,14,Johnny HerbertHER,Sauber Ford,18,1:25.786
14,10,Pedro DinizDIN,Ligier Mugen Honda,43,1:25.791
15,17,Jos VerstappenVER,Footwork Hart,36,1:25.913
16,19,Mika SaloSAL,Tyrrell Yamaha,6,1:26.199
17,18,Ukyo KatayamaKAT,Tyrrell Yamaha,44,1:26.447
18,16,Ricardo RossetROS,Footwork Hart,3,1:26.863
19,20,Pedro LamyLAM,Minardi Ford,48,1:27.754
20,21,Giovanni LavaggiLAV,Minardi Ford,2,1:28.911
