Pos,No,Driver,Car,Lap,Time
1,6,Jacques VilleneuveVIL,Williams Renault,34,1:44.043
2,4,Gerhard BergerBER,Benetton Renault,24,1:44.350
3,1,Michael SchumacherMSC,Ferrari,18,1:44.445
4,5,Damon HillHIL,Williams Renault,30,1:44.753
5,7,Mika HakkinenHAK,McLaren Mercedes,35,1:44.852
6,9,Olivier PanisPAN,Ligier Mugen Honda,19,1:45.347
7,8,David CoulthardCOU,McLaren Mercedes,38,1:45.613
8,2,Eddie IrvineIRV,Ferrari,20,1:45.798
9,12,Martin BrundleBRU,Jordan Peugeot,37,1:45.882
10,14,Johnny HerbertHER,Sauber Ford,19,1:45.932
11,11,Rubens BarrichelloBAR,Jordan Peugeot,16,1:46.339
12,15,Heinz-Harald FrentzenFRE,Sauber Ford,31,1:46.407
13,17,Jos VerstappenVER,Footwork Hart,31,1:46.977
14,18,Ukyo KatayamaKAT,Tyrrell Yamaha,29,1:47.518
15,10,Pedro DinizDIN,Ligier Mugen Honda,5,1:48.495
16,20,Pedro LamyLAM,Minardi Ford,18,1:49.220
17,16,Ricardo RossetROS,Footwork Hart,35,1:49.263
18,19,Mika SaloSAL,Tyrrell Yamaha,18,1:49.372
