Pos,No,Driver,Car,Lap,Time
1,1,Michael SchumacherMSC,Ferrari,50,1:26.110
2,3,Jean AlesiALE,Benetton Renault,49,1:26.652
3,7,Mika HakkinenHAK,McLaren Mercedes,29,1:26.827
4,6,Jacques VilleneuveVIL,Williams Renault,41,1:27.027
5,11,Rubens BarrichelloBAR,Jordan Peugeot,52,1:27.557
6,5,Damon HillHIL,Williams Renault,4,1:27.639
7,2,Eddie IrvineIRV,Ferrari,23,1:27.687
8,12,Martin BrundleBRU,Jordan Peugeot,51,1:27.831
9,10,Pedro DinizDIN,Ligier Mugen Honda,24,1:27.905
10,14,Johnny HerbertHER,Sauber Ford,50,1:28.223
11,17,Jos VerstappenVER,Footwork Hart,29,1:28.650
12,18,Ukyo KatayamaKAT,Tyrrell Yamaha,50,1:28.980
13,4,Gerhard BergerBER,Benetton Renault,4,1:29.123
14,19,Mika SaloSAL,Tyrrell Yamaha,5,1:29.418
15,15,Heinz-Harald FrentzenFRE,Sauber Ford,5,1:29.945
16,16,Ricardo RossetROS,Footwork Hart,5,1:30.579
17,20,Pedro LamyLAM,Minardi Ford,9,1:31.353
18,9,Olivier PanisPAN,Ligier Mugen Honda,2,1:32.657
19,21,Giovanni LavaggiLAV,Minardi Ford,4,1:33.189
20,8,David CoulthardCOU,McLaren Mercedes,1,1:38.080
