Pos,No,Driver,Car,Lap,Time
1,3,Jean AlesiALE,Benetton Renault,65,1:29.413
2,5,Damon HillHIL,Williams Renault,44,1:29.653
3,4,Gerhard BergerBER,Benetton Renault,43,1:30.104
4,6,Jacques VilleneuveVIL,Williams Renault,64,1:30.163
5,1,Michael SchumacherMSC,Ferrari,23,1:30.659
6,15,Heinz-Harald FrentzenFRE,Sauber Ford,23,1:31.005
7,17,Jos VerstappenVER,Footwork Hart,66,1:31.099
8,9,Olivier PanisPAN,Ligier Mugen Honda,60,1:31.343
9,2,Eddie IrvineIRV,Ferrari,65,1:31.372
10,18,Ukyo KatayamaKAT,Tyrrell Yamaha,18,1:31.396
11,8,David CoulthardCOU,McLaren Mercedes,46,1:31.408
12,11,Rubens BarrichelloBAR,Jordan Peugeot,50,1:31.443
13,14,Johnny HerbertHER,Sauber Ford,44,1:31.930
14,19,Mika SaloSAL,Tyrrell Yamaha,34,1:31.930
15,7,Mika HakkinenHAK,McLaren Mercedes,17,1:32.369
16,12,Martin BrundleBRU,Jordan Peugeot,20,1:32.668
17,10,Pedro DinizDIN,Ligier Mugen Honda,24,1:32.882
18,21,Tarso MarquesMAR,Minardi Ford,29,1:32.925
19,20,Pedro LamyLAM,Minardi Ford,21,1:32.958
20,16,Ricardo RossetROS,Footwork Hart,20,1:33.606
21,23,Andrea MonterminiMON,Forti Ford,68,1:34.592
22,22,Luca BadoerBAD,Forti Ford,20,1:35.893
