Pos,No,Driver,Car,Lap,Time
1,6,Jacques VilleneuveVIL,Williams Renault,48,1:18.610
2,9,Olivier PanisPAN,Ligier Mugen Honda,38,1:18.712
3,5,Damon HillHIL,Williams Renault,57,1:18.938
4,4,Gerhard BergerBER,Benetton Renault,48,1:19.206
5,3,Jean AlesiALE,Benetton Renault,27,1:19.378
6,7,Mika HakkinenHAK,McLaren Mercedes,59,1:19.632
7,8,David CoulthardCOU,McLaren Mercedes,27,1:19.968
8,11,Rubens BarrichelloBAR,Jordan Peugeot,48,1:20.134
9,12,Martin BrundleBRU,Jordan Peugeot,51,1:20.414
10,19,Mika SaloSAL,Tyrrell Yamaha,48,1:20.710
11,18,Ukyo KatayamaKAT,Tyrrell Yamaha,27,1:20.989
12,10,Pedro DinizDIN,Ligier Mugen Honda,7,1:20.997
13,14,Johnny HerbertHER,Sauber Ford,38,1:21.262
14,15,Heinz-Harald FrentzenFRE,Sauber Ford,29,1:21.273
15,17,Jos VerstappenVER,Footwork Hart,9,1:21.461
16,2,Eddie IrvineIRV,Ferrari,4,1:21.824
17,16,Ricardo RossetROS,Footwork Hart,18,1:22.095
18,22,Luca BadoerBAD,Forti Ford,9,1:22.258
19,20,Pedro LamyLAM,Minardi Ford,7,1:22.842
20,21,Giancarlo FisichellaFIS,Minardi Ford,2,1:23.448
21,23,Andrea MonterminiMON,Forti Ford,2,1:24.818
